date,discharge,acc_flow_30d,acc_flow_60d,acc_flow_90d
1984-10-10,4760,246520.0,1050300.0,1719790.0
1984-10-11,11400,242820.0,1042600.0,1683090.0
1984-10-12,10400,242020.0,1022900.0,1664290.0
1984-10-13,3120,235320.0,983220.0,1641810.0
1984-10-14,813,225733.0,922833.0,1602623.0
1984-10-15,7430,227993.0,868663.0,1578653.0
1984-10-16,8500,233853.0,820063.0,1561053.0
1984-10-17,9700,228753.0,776363.0,1544353.0
1984-10-18,10900,231713.0,748263.0,1528353.0
1984-10-19,3380,222893.0,710343.0,1515933.0
1984-10-20,3330,211123.0,681573.0,1506763.0
1984-10-21,940,199063.0,648713.0,1480703.0
1984-10-22,15000,213053.0,624713.0,1473403.0
1984-10-23,12500,224755.0,607913.0,1465703.0
1984-10-24,10600,225375.0,602913.0,1459003.0
1984-10-25,7920,222195.0,598433.0,1448723.0
1984-10-26,9980,221675.0,581113.0,1447603.0
1984-10-27,5100,220025.0,564313.0,1443153.0
1984-10-28,854,211319.0,541167.0,1419207.0
1984-10-29,21400,231805.0,542067.0,1413807.0
1984-10-30,6390,237285.0,526657.0,1392797.0
1984-10-31,10200,238385.0,529907.0,1383397.0
1984-11-01,14300,241085.0,539097.0,1374997.0
1984-11-02,17400,246785.0,548407.0,1387367.0
1984-11-03,969,239554.0,531276.0,1382826.0
1984-11-04,957,231161.0,514133.0,1356283.0
1984-11-05,10200,238241.0,500233.0,1343483.0
1984-11-06,18700,256023.0,507333.0,1341783.0
1984-11-07,13100,257623.0,512913.0,1333083.0
1984-11-08,11700,261943.0,519303.0,1319483.0
1984-11-09,16300,273483.0,520003.0,1323783.0
1984-11-10,13400,275483.0,518303.0,1318083.0
1984-11-11,893,265976.0,507996.0,1288876.0
1984-11-12,19300,282156.0,517476.0,1265376.0
1984-11-13,14200,295543.0,521276.0,1218376.0
1984-11-14,20800,308913.0,536906.0,1177576.0
1984-11-15,18900,319313.0,553166.0,1139376.0
1984-11-16,24800,334413.0,563166.0,1110776.0
1984-11-17,11800,335313.0,567026.0,1083576.0
1984-11-18,864,332797.0,555690.0,1043140.0
1984-11-19,16400,345867.0,556990.0,1027440.0
1984-11-20,21600,366527.0,565590.0,1015240.0
1984-11-21,26900,378427.0,591480.0,1003140.0
1984-11-22,880,366807.0,591562.0,974720.0
1984-11-23,22900,379107.0,604482.0,982020.0
1984-11-24,4220,375407.0,597602.0,973840.0
1984-11-25,879,366306.0,587981.0,947419.0
1984-11-26,10000,371206.0,591231.0,935519.0
1984-11-27,13500,383852.0,595171.0,925019.0
1984-11-28,9680,372132.0,603937.0,914199.0
1984-11-29,42600,408342.0,645627.0,934999.0
1984-11-30,57400,455542.0,693927.0,985449.0
1984-12-01,70400,511642.0,752727.0,1050739.0
1984-12-02,60400,554642.0,801427.0,1103049.0
1984-12-03,68300,621973.0,861527.0,1153249.0
1984-12-04,68800,689816.0,920977.0,1203949.0
1984-12-05,64200,743816.0,982057.0,1244049.0
1984-12-06,61900,787016.0,1043039.0,1294349.0
1984-12-07,64700,838616.0,1096239.0,1351529.0
1984-12-08,53000,879916.0,1141859.0,1399219.0
1984-12-09,32700,896316.0,1169799.0,1416319.0
1984-12-10,43900,926816.0,1202299.0,1445119.0
1984-12-11,37900,963823.0,1229799.0,1471819.0
1984-12-12,41800,986323.0,1268479.0,1503799.0
1984-12-13,42800,1014923.0,1310466.0,1536199.0
1984-12-14,45300,1039423.0,1348336.0,1576329.0
1984-12-15,45000,1065523.0,1384836.0,1618689.0
1984-12-16,39800,1080523.0,1414936.0,1643689.0
1984-12-17,53900,1122623.0,1457936.0,1689649.0
1984-12-18,58500,1180259.0,1513056.0,1735949.0
1984-12-19,54300,1218159.0,1564026.0,1775149.0
1984-12-20,45700,1242259.0,1608786.0,1807849.0
1984-12-21,51300,1266659.0,1645086.0,1858139.0
1984-12-22,50600,1316379.0,1683186.0,1907941.0
1984-12-23,57100,1350579.0,1729686.0,1955061.0
1984-12-24,70300,1416659.0,1792066.0,2014261.0
1984-12-25,67300,1483080.0,1849386.0,2071061.0
1984-12-26,70000,1543080.0,1914286.0,2134311.0
1984-12-27,72300,1601880.0,1985732.0,2197051.0
1984-12-28,58800,1651000.0,2023132.0,2254937.0
1984-12-29,47300,1655700.0,2064042.0,2301327.0
1984-12-30,43800,1642100.0,2097642.0,2336027.0
1984-12-31,63200,1634900.0,2146542.0,2387627.0
1985-01-01,65700,1640200.0,2194842.0,2441627.0
1985-01-02,69000,1640900.0,2262873.0,2502427.0
1985-01-03,75800,1647900.0,2337716.0,2568877.0
1985-01-04,71600,1655300.0,2399116.0,2637357.0
1985-01-05,60700,1654100.0,2441116.0,2697139.0
1985-01-06,46200,1635600.0,2474216.0,2731839.0
1985-01-07,54000,1636600.0,2516516.0,2778459.0
1985-01-08,46300,1650200.0,2546516.0,2819999.0
1985-01-09,38400,1644700.0,2571516.0,2846999.0
1985-01-10,33300,1640100.0,2603923.0,2869899.0
1985-01-11,37700,1636000.0,2622323.0,2904479.0
1985-01-12,18800,1612000.0,2626923.0,2922466.0
1985-01-13,5330,1572030.0,2611453.0,2920366.0
1985-01-14,25000,1552030.0,2617553.0,2936866.0
1985-01-15,25300,1537530.0,2618053.0,2952466.0
1985-01-16,23000,1506630.0,2629253.0,2964566.0
1985-01-17,21000,1469130.0,2649389.0,2982186.0
1985-01-18,17600,1432430.0,2650589.0,2996456.0
1985-01-19,12200,1398930.0,2641189.0,3007716.0
1985-01-20,13100,1360730.0,2627389.0,3005816.0
1985-01-21,24200,1334330.0,2650709.0,3017516.0
1985-01-22,6940,1284170.0,2634749.0,3013856.0
1985-01-23,6250,1220120.0,2636779.0,3012186.0
1985-01-24,12500,1165320.0,2648400.0,3014706.0
1985-01-25,17800,1113120.0,2656200.0,3027406.0
1985-01-26,9930,1050750.0,2652630.0,3036482.0
1985-01-27,7500,999450.0,2650450.0,3022582.0
1985-01-28,17100,969250.0,2624950.0,3033292.0
1985-01-29,21000,946450.0,2588550.0,3044092.0
1985-01-30,19900,903150.0,2538050.0,3049692.0
1985-01-31,21200,858650.0,2498850.0,3053492.0
1985-02-01,27200,816850.0,2457750.0,3079723.0
1985-02-02,5170,746220.0,2394120.0,3083936.0
1985-02-03,3090,677710.0,2333010.0,3076826.0
1985-02-04,22400,639410.0,2293510.0,3080526.0
1985-02-05,15800,609010.0,2244610.0,3083226.0
1985-02-06,14200,569210.0,2205810.0,3085726.0
1985-02-07,17600,540510.0,2190710.0,3087026.0
1985-02-08,17800,519910.0,2164610.0,3091426.0
1985-02-09,931,487541.0,2127641.0,3091464.0
1985-02-10,821,450662.0,2086662.0,3072985.0
1985-02-11,12400,444262.0,2056262.0,3071185.0
1985-02-12,39700,478632.0,2050662.0,3090085.0
1985-02-13,60300,513932.0,2065962.0,3131485.0
1985-02-14,58700,547332.0,2084862.0,3165385.0
1985-02-15,52400,576732.0,2083362.0,3205985.0
1985-02-16,45100,600832.0,2069962.0,3250221.0
1985-02-17,32500,615732.0,2048162.0,3266321.0
1985-02-18,35300,638832.0,2037762.0,3280021.0
1985-02-19,35000,660732.0,2021462.0,3288121.0
1985-02-20,35500,672032.0,2006362.0,3322741.0
1985-02-21,36500,701592.0,1985762.0,3336341.0
1985-02-22,32800,728142.0,1948262.0,3364921.0
1985-02-23,29800,745442.0,1910762.0,3393842.0
1985-02-24,31500,759142.0,1872262.0,3415342.0
1985-02-25,50000,799212.0,1849962.0,3451842.0
1985-02-26,78000,869712.0,1869162.0,3520162.0
1985-02-27,127000,979612.0,1948862.0,3604562.0
1985-02-28,107000,1065612.0,2012062.0,3654162.0
1985-03-01,92900,1138612.0,2041762.0,3676662.0
1985-03-02,76600,1194012.0,2052662.0,3692862.0
1985-03-03,57600,1224412.0,2041262.0,3682162.0
1985-03-04,60200,1279442.0,2025662.0,3673562.0
1985-03-05,53100,1329452.0,2007162.0,3662462.0
1985-03-06,43500,1350552.0,1989962.0,3644062.0
1985-03-07,42900,1377652.0,1986662.0,3622262.0
1985-03-08,43200,1406652.0,1975862.0,3612462.0
1985-03-09,32800,1421852.0,1962362.0,3612562.0
1985-03-10,26800,1430852.0,1950762.0,3595462.0
1985-03-11,42600,1472521.0,1960062.0,3600162.0
1985-03-12,44500,1516200.0,1966862.0,3602862.0
1985-03-13,52400,1556200.0,2000462.0,3612462.0
1985-03-14,60600,1577100.0,2055732.0,3627762.0
1985-03-15,81100,1597900.0,2111832.0,3663862.0
1985-03-16,90900,1630100.0,2177432.0,3714962.0
1985-03-17,79200,1656900.0,2233632.0,3740262.0
1985-03-18,69200,1681000.0,2281832.0,3750962.0
1985-03-19,63600,1712100.0,2327832.0,3760262.0
1985-03-20,52600,1729400.0,2368232.0,3767162.0
1985-03-21,47900,1742300.0,2403032.0,3763762.0
1985-03-22,44200,1751000.0,2423032.0,3757362.0
1985-03-23,32400,1746900.0,2448492.0,3732662.0
1985-03-24,21400,1735500.0,2463642.0,3683762.0
1985-03-25,54100,1759800.0,2505242.0,3670562.0
1985-03-26,56900,1785200.0,2544342.0,3657462.0
1985-03-27,59900,1795100.0,2594312.0,3645062.0
1985-03-28,62700,1779800.0,2649512.0,3648962.0
1985-03-29,60300,1713100.0,2692712.0,3661962.0
1985-03-30,61100,1667200.0,2732812.0,3679262.0
1985-03-31,75100,1649400.0,2788012.0,3691162.0
1985-04-01,83700,1656500.0,2850512.0,3709162.0
1985-04-02,119000,1717900.0,2942312.0,3759162.0
1985-04-03,136000,1793700.0,3073142.0,3819362.0
1985-04-04,120000,1860600.0,3190052.0,3867762.0
1985-04-05,96200,1913300.0,3263852.0,3903262.0
1985-04-06,83600,1954000.0,3331652.0,3940662.0
1985-04-07,71800,1982600.0,3389252.0,3958462.0
1985-04-08,70900,2020700.0,3442552.0,3983062.0
1985-04-09,70100,2064000.0,3494852.0,4014762.0
1985-04-10,62600,2084000.0,3556521.0,4044062.0
1985-04-11,58900,2098400.0,3614600.0,4065262.0
1985-04-12,56800,2102800.0,3659000.0,4103262.0
1985-04-13,37800,2080000.0,3657100.0,4135732.0
1985-04-14,27200,2026100.0,3624000.0,4137932.0
1985-04-15,43300,1978500.0,3608600.0,4155932.0
1985-04-16,41100,1940400.0,3597300.0,4174032.0
1985-04-17,42600,1913800.0,3594800.0,4195632.0
1985-04-18,31000,1881200.0,3593300.0,4209032.0
1985-04-19,34500,1863100.0,3592500.0,4231332.0
1985-04-20,31100,1846300.0,3588600.0,4249332.0
1985-04-21,12200,1814300.0,3565300.0,4237332.0
1985-04-22,29700,1811600.0,3558500.0,4260092.0
1985-04-23,27100,1817300.0,3552800.0,4280942.0
1985-04-24,29200,1792400.0,3552200.0,4297642.0
1985-04-25,34200,1769700.0,3554900.0,4314042.0
1985-04-26,30000,1739800.0,3534900.0,4334112.0
1985-04-27,22600,1699700.0,3479500.0,4349212.0
1985-04-28,14100,1653500.0,3366600.0,4346212.0
1985-04-29,25800,1618200.0,3285400.0,4351012.0
1985-04-30,21500,1564600.0,3214000.0,4352612.0
1985-05-01,18000,1498900.0,3155400.0,4349412.0
1985-05-02,19400,1399300.0,3117200.0,4341612.0
1985-05-03,35100,1298400.0,3092100.0,4371542.0
1985-05-04,34500,1212900.0,3073500.0,4402952.0
1985-05-05,43900,1160600.0,3073900.0,4424452.0
1985-05-06,48000,1125000.0,3079000.0,4456652.0
1985-05-07,39300,1092500.0,3075100.0,4481752.0
1985-05-08,32000,1053600.0,3074300.0,4496152.0
1985-05-09,32900,1016400.0,3080400.0,4511252.0
1985-05-10,28500,982300.0,3066300.0,4538821.0
1985-05-11,16500,939900.0,3038300.0,4554500.0
1985-05-12,11400,894500.0,2997300.0,4553500.0
1985-05-13,28700,885400.0,2965400.0,4542500.0
1985-05-14,29900,888100.0,2914200.0,4512100.0
1985-05-15,25000,869800.0,2848300.0,4478400.0
1985-05-16,19500,848200.0,2788600.0,4445500.0
1985-05-17,21900,827500.0,2741300.0,4422300.0
1985-05-18,17000,813500.0,2694700.0,4406800.0
1985-05-19,13100,792100.0,2655200.0,4384600.0
1985-05-20,31600,792600.0,2638900.0,4381200.0
1985-05-21,27600,808000.0,2622300.0,4373300.0
1985-05-22,24500,802800.0,2614400.0,4361300.0
1985-05-23,23500,799200.0,2616500.0,4352000.0
1985-05-24,25000,795000.0,2587400.0,4347200.0
1985-05-25,13600,774400.0,2544100.0,4329300.0
1985-05-26,12300,756700.0,2496500.0,4291600.0
1985-05-27,7660,741760.0,2441460.0,4221260.0
1985-05-28,20400,748060.0,2401560.0,4114660.0
1985-05-29,15900,738160.0,2356360.0,4023560.0
1985-05-30,19500,736160.0,2300760.0,3950160.0
