Station,SampleDate,MeasureValue,Latitude,Longitude
CB2.2,2022-08-24,15.166,39.34873,-76.17579
CB2.2,2022-09-14,11.213999999999999,39.34873,-76.17579
CB2.2,2022-10-07,3.204,39.34873,-76.17579
CB2.2,2022-11-16,5.7215,39.34873,-76.17579
CB2.2,2022-12-07,2.35,39.34873,-76.17579
CB2.2,2023-01-11,1.78,39.34873,-76.17579
CB2.2,2023-02-16,7.583,39.34873,-76.17579
CB2.2,2023-03-17,114.45400000000001,39.34873,-76.17579
CB2.2,2023-04-12,3.026,39.34873,-76.17579
CB2.2,2023-05-10,3.2039999999999997,39.34873,-76.17579
CB2.2,2023-06-07,9.078,39.34873,-76.17579
CB2.2,2023-06-28,25.631999999999998,39.34873,-76.17579
CB2.2,2023-07-12,19.936,39.34873,-76.17579
CB2.2,2023-08-09,5.447,39.34873,-76.17579
CB2.2,2023-08-30,7.69,39.34873,-76.17579
CB2.2,2023-09-13,14.098,39.34873,-76.17579
CB2.2,2023-10-06,4.806,39.34873,-76.17579
CB2.2,2023-11-17,3.2039999999999997,39.34873,-76.17579
CB2.2,2023-12-14,1.922,39.34873,-76.17579
CB2.2,2024-01-25,2.136,39.34873,-76.17579
CB2.2,2024-02-26,33.962500000000006,39.34873,-76.17579
CB2.2,2024-03-19,3.382,39.34873,-76.17579
CB2.2,2024-04-17,3.845,39.34873,-76.17579
CB2.2,2024-05-15,5.660500000000001,39.34873,-76.17579
CB2.2,2024-06-05,12.923,39.34873,-76.17579
CB2.2,2024-06-27,10.947,39.34873,-76.17579
CB2.2,2024-07-17,10.324,39.34873,-76.17579
CB2.2,2024-08-14,6.675000000000001,39.34873,-76.17579
CB2.2,2024-08-28,7.832,39.34873,-76.17579
CB2.2,2024-09-26,18.5835,39.34873,-76.17579
CB2.2,2024-10-24,6.5145,39.34873,-76.17579
CB2.2,2024-11-15,4.272,39.34873,-76.17579
CB2.2,2024-12-04,7.903,39.34873,-76.17579
CB3.1,2020-05-26,57.672,39.2495,-76.2405
CB3.1,2020-06-26,7.476,39.2495,-76.2405
CB3.1,2020-07-08,15.593,39.2495,-76.2405
CB3.1,2020-08-11,14.596,39.2495,-76.2405
CB3.1,2020-08-26,12.46,39.2495,-76.2405
CB3.1,2020-09-24,7.12,39.2495,-76.2405
CB3.1,2020-10-27,4.058,39.2495,-76.2405
CB3.1,2020-11-11,3.509,39.2495,-76.2405
CB3.1,2020-12-23,3.418,39.2495,-76.2405
CB3.1,2021-01-13,0.748,39.2495,-76.2405
CB3.1,2021-02-10,2.99,39.2495,-76.2405
CB3.1,2021-03-18,3.631,39.2495,-76.2405
CB3.1,2021-04-07,2.848,39.2495,-76.2405
CB3.1,2021-05-12,19.224,39.2495,-76.2405
CB3.1,2021-06-03,17.355,39.2495,-76.2405
CB3.1,2021-06-24,8.811,39.2495,-76.2405
CB3.1,2021-07-08,14.24,39.2495,-76.2405
CB3.1,2021-08-04,13.03,39.2495,-76.2405
CB3.1,2021-08-25,4.628,39.2495,-76.2405
CB3.1,2021-09-15,5.874,39.2495,-76.2405
CB3.1,2021-10-06,6.408,39.2495,-76.2405
CB3.1,2021-11-18,1.424,39.2495,-76.2405
CB3.1,2021-12-09,2.777,39.2495,-76.2405
CB3.1,2022-01-27,19.438,39.2495,-76.2405
CB3.1,2022-02-09,20.025,39.2495,-76.2405
CB3.1,2022-03-16,3.204,39.2495,-76.2405
