YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2003 01 01 00 179  6.7  7.1 99.00 99.00 99.00 999 1015.4   7.5   4.0   3.3 99.0 99.00
2003 01 01 01 189  4.8  5.0 99.00 99.00 99.00 999 1015.9   6.6   4.0   3.4 99.0 99.00
2003 01 01 02 180  5.0  5.5 99.00 99.00 99.00 999 1015.9   7.2   4.1   3.6 99.0 99.00
2003 01 01 03 190  4.5  4.7 99.00 99.00 99.00 999 1015.9   8.0   4.0   3.9 99.0 99.00
2003 01 01 04 166  4.8  4.9 99.00 99.00 99.00 999 1015.9   8.2   4.1   4.9 99.0 99.00
2003 01 01 05 150  2.8  2.9 99.00 99.00 99.00 999 1016.0   8.0   4.0   5.4 99.0 99.00
2003 01 01 06 158  6.6  7.9 99.00 99.00 99.00 999 1015.4  11.5   4.1   6.4 99.0 99.00
2003 01 01 07 185  4.9  5.3 99.00 99.00 99.00 999 1015.8  10.7   4.1   7.7 99.0 99.00
2003 01 01 08 156  5.7  6.0 99.00 99.00 99.00 999 1015.5   8.5   4.1   8.4 99.0 99.00
2003 01 01 09  58  2.4  3.0 99.00 99.00 99.00 999 1014.8   9.2   4.1   9.1 99.0 99.00
2003 01 01 10  31  5.1  5.2 99.00 99.00 99.00 999 1014.5   7.6   4.1   7.5 99.0 99.00
2003 01 01 11  22  6.2  6.4 99.00 99.00 99.00 999 1014.0   7.1   4.1   7.1 99.0 99.00
2003 01 01 12  27  5.8  6.1 99.00 99.00 99.00 999 1013.4   8.1   4.1   8.0 99.0 99.00
2003 01 01 13 357  2.5  3.0 99.00 99.00 99.00 999 1012.9   8.1   4.2   8.1 99.0 99.00
2003 01 01 14   8  7.7  8.0 99.00 99.00 99.00 999 1012.6   7.7   4.2   7.7 99.0 99.00
2003 01 01 15  59  7.4  7.9 99.00 99.00 99.00 999 1009.7   8.9   4.3   8.9 99.0 99.00
2003 01 01 16  45  4.2  6.1 99.00 99.00 99.00 999 1009.2  10.9   4.3  10.9 99.0 99.00
2003 01 01 17  22  6.2  6.6 99.00 99.00 99.00 999 1007.3   8.8   4.3   8.8 99.0 99.00
2003 01 01 18  24  7.4  7.7 99.00 99.00 99.00 999 1006.0   8.3   4.3   8.3 99.0 99.00
2003 01 01 19  22  7.1  7.4 99.00 99.00 99.00 999 1004.1   7.3   4.3   7.3 99.0 99.00
2003 01 01 20  48  9.9 11.1 99.00 99.00 99.00 999 1001.4   8.9   4.3   8.9 99.0 99.00
2003 01 01 21 340  5.5  6.2 99.00 99.00 99.00 999 1002.3   7.1   4.3   7.1 99.0 99.00
2003 01 01 22  14  8.9  9.1 99.00 99.00 99.00 999 1001.1   7.2   4.3   7.2 99.0 99.00
2003 01 01 23  39  9.4  9.9 99.00 99.00 99.00 999 1000.2   8.0   4.3   8.0 99.0 99.00
2003 01 02 00  65  8.3  9.3 99.00 99.00 99.00 999  999.9   9.0   4.4   9.0 99.0 99.00
2003 01 02 01   0 11.1 12.8 99.00 99.00 99.00 999 1000.7   7.3   4.4   7.3 99.0 99.00
2003 01 02 02 358  8.7 10.1 99.00 99.00 99.00 999 1002.2   6.5   4.5   6.5 99.0 99.00
2003 01 02 03 358  8.8  9.5 99.00 99.00 99.00 999 1002.8   6.5   4.5   6.5 99.0 99.00
2003 01 02 04 348  6.3  7.4 99.00 99.00 99.00 999 1004.3   7.1   4.5   6.9 99.0 99.00
2003 01 02 05 344  8.2  9.2 99.00 99.00 99.00 999 1005.9   5.9   4.5   4.8 99.0 99.00
2003 01 02 06 342  7.1  7.8 99.00 99.00 99.00 999 1007.0   4.7   4.5   3.8 99.0 99.00
2003 01 02 07 352  7.0  7.8 99.00 99.00 99.00 999 1008.4   4.2   4.4   2.4 99.0 99.00
2003 01 02 08   1  8.9  9.8 99.00 99.00 99.00 999 1008.3   4.2   4.4   2.0 99.0 99.00
2003 01 02 09   2  6.7  8.3 99.00 99.00 99.00 999 1009.7   4.4   4.4   1.5 99.0 99.00
2003 01 02 10 337  3.1  3.4 99.00 99.00 99.00 999 1011.3   4.4   4.4   1.7 99.0 99.00
2003 01 02 11 315  3.9  4.1 99.00 99.00 99.00 999 1012.7   4.6   4.4   2.1 99.0 99.00
2003 01 02 12 329  2.9  3.5 99.00 99.00 99.00 999 1013.6   4.8   4.4   2.3 99.0 99.00
2003 01 02 13 345  5.2  6.0 99.00 99.00 99.00 999 1014.5   4.6   4.3   2.4 99.0 99.00
2003 01 02 14  13  7.4  8.1 99.00 99.00 99.00 999 1015.5   4.6   4.4   1.9 99.0 99.00
2003 01 02 15  24  6.4  6.9 99.00 99.00 99.00 999 1016.5   4.5   4.4   2.2 99.0 99.00
2003 01 02 16  16  5.1  5.8 99.00 99.00 99.00 999 1016.7   4.3   4.4   2.5 99.0 99.00
2003 01 02 17  34  3.6  4.3 99.00 99.00 99.00 999 1016.2   4.3   4.5   2.6 99.0 99.00
2003 01 02 18  79  4.9  5.4 99.00 99.00 99.00 999 1015.8   4.4   4.4   1.8 99.0 99.00
2003 01 02 19  73  4.8  5.2 99.00 99.00 99.00 999 1015.6   4.5   4.5   1.8 99.0 99.00
2003 01 02 20  88  4.3  4.7 99.00 99.00 99.00 999 1016.9   4.6   4.5   1.7 99.0 99.00
2003 01 02 21  97  6.8  7.2 99.00 99.00 99.00 999 1017.3   4.3   4.5   1.9 99.0 99.00
2003 01 02 22  97  6.7  7.2 99.00 99.00 99.00 999 1017.8   3.9   4.5   2.8 99.0 99.00
2003 01 02 23  93  6.3  7.2 99.00 99.00 99.00 999 1018.0   3.7   4.5   3.3 99.0 99.00
2003 01 03 00  88  5.5  6.7 99.00 99.00 99.00 999 1018.5   3.8   4.4   3.1 99.0 99.00
2003 01 03 01  87  6.1  7.0 99.00 99.00 99.00 999 1018.6   3.5   4.4   2.7 99.0 99.00
2003 01 03 02  87  6.1  7.7 99.00 99.00 99.00 999 1018.4   3.6   4.4   2.9 99.0 99.00
2003 01 03 03  73  6.5  7.4 99.00 99.00 99.00 999 1018.2   3.6   4.4   3.0 99.0 99.00
2003 01 03 04  56  5.5  6.1 99.00 99.00 99.00 999 1017.9   3.2   4.4   3.1 99.0 99.00
2003 01 03 05  58  7.4  7.8 99.00 99.00 99.00 999 1016.9   3.1   4.4   3.0 99.0 99.00
2003 01 03 06  41  7.1  7.7 99.00 99.00 99.00 999 1016.3   3.2   4.4   3.1 99.0 99.00
2003 01 03 07  51  5.8  6.5 99.00 99.00 99.00 999 1015.7   3.8   4.4   3.7 99.0 99.00
2003 01 03 08  61  5.9  6.8 99.00 99.00 99.00 999 1015.2   4.5   4.5   4.5 99.0 99.00
2003 01 03 09  43  5.1  5.6 99.00 99.00 99.00 999 1014.7   4.8   4.5   4.8 99.0 99.00
2003 01 03 10  67  5.7  6.6 99.00 99.00 99.00 999 1013.9   4.9   4.5   4.9 99.0 99.00
2003 01 03 11  58  5.3  6.9 99.00 99.00 99.00 999 1013.3   5.2   4.5   5.2 99.0 99.00
2003 01 03 12  60  5.1  5.8 99.00 99.00 99.00 999 1012.9   5.6   4.5   5.5 99.0 99.00
2003 01 03 13  62  5.3  6.2 99.00 99.00 99.00 999 1012.5   5.8   4.4   5.7 99.0 99.00
2003 01 03 14  17  6.2  7.2 99.00 99.00 99.00 999 1011.9   4.4   4.4   4.3 99.0 99.00
2003 01 03 15  19  7.9  8.4 99.00 99.00 99.00 999 1011.0   3.8   4.4   3.7 99.0 99.00
2003 01 03 16  10  9.0  9.6 99.00 99.00 99.00 999 1009.6   3.9   4.4   3.8 99.0 99.00
2003 01 03 17   3  8.9  9.5 99.00 99.00 99.00 999 1007.9   3.7   4.4   3.6 99.0 99.00
2003 01 03 18   0  6.7  7.2 99.00 99.00 99.00 999 1006.9   3.9   4.4   3.8 99.0 99.00
2003 01 03 19   3  8.0  8.5 99.00 99.00 99.00 999 1006.4   4.0   4.4   4.0 99.0 99.00
2003 01 03 20 351  6.5  7.2 99.00 99.00 99.00 999 1006.3   4.3   4.5   4.3 99.0 99.00
2003 01 03 21 321  6.4  7.2 99.00 99.00 99.00 999 1006.5   4.8   4.5   4.8 99.0 99.00
2003 01 03 22 311  6.5  7.2 99.00 99.00 99.00 999 1006.9   3.9   4.5   3.9 99.0 99.00
2003 01 03 23 322  7.7  9.0 99.00 99.00 99.00 999 1007.0   3.3   4.5   3.2 99.0 99.00
2003 01 04 00 322  7.7  8.9 99.00 99.00 99.00 999 1007.5   2.9   4.5   2.3 99.0 99.00
2003 01 04 01 316  7.6  8.6 99.00 99.00 99.00 999 1007.6   2.5   4.3   1.5 99.0 99.00
2003 01 04 02 337 10.3 12.8 99.00 99.00 99.00 999 1007.5   2.4   4.3   1.5 99.0 99.00
2003 01 04 03 335  9.1 10.5 99.00 99.00 99.00 999 1007.4   2.5   4.3   1.3 99.0 99.00
2003 01 04 04 320  8.7  9.9 99.00 99.00 99.00 999 1007.5   2.5   4.3   0.5 99.0 99.00
2003 01 04 05 317  8.3  9.5 99.00 99.00 99.00 999 1007.9   2.4   4.3  -0.1 99.0 99.00
2003 01 04 06 325  8.6  9.7 99.00 99.00 99.00 999 1007.8   2.5   4.3  -0.1 99.0 99.00
2003 01 04 07 319  6.9  8.1 99.00 99.00 99.00 999 1008.7   2.7   4.3  -1.0 99.0 99.00
2003 01 04 08 319  9.3 10.9 99.00 99.00 99.00 999 1009.0   3.0   4.2  -1.3 99.0 99.00
2003 01 04 09 305  7.9  9.8 99.00 99.00 99.00 999 1009.1   2.9   4.3  -1.2 99.0 99.00
2003 01 04 10 291  8.4  9.3 99.00 99.00 99.00 999 1009.8   2.3   4.2  -2.0 99.0 99.00
2003 01 04 11 302  8.8 10.7 99.00 99.00 99.00 999 1010.2   1.9   3.9  -2.7 99.0 99.00
2003 01 04 12 302  9.5 10.7 99.00 99.00 99.00 999 1011.4   1.8   3.9  -3.1 99.0 99.00
2003 01 04 13 306  8.9 10.0 99.00 99.00 99.00 999 1012.7   1.6   3.8  -3.8 99.0 99.00
2003 01 04 14 306  9.3 10.6 99.00 99.00 99.00 999 1014.0   1.4   3.7  -5.1 99.0 99.00
2003 01 04 15 294 10.5 11.3 99.00 99.00 99.00 999 1014.8   1.6   3.9  -5.5 99.0 99.00
2003 01 04 16 305  9.1 10.4 99.00 99.00 99.00 999 1014.6   1.8   3.9  -5.6 99.0 99.00
2003 01 04 17 313  8.0 10.0 99.00 99.00 99.00 999 1013.9   2.0   3.9  -6.0 99.0 99.00
2003 01 04 18 313  8.4 10.3 99.00 99.00 99.00 999 1013.9   2.3   4.1  -6.0 99.0 99.00
2003 01 04 19 318 10.1 11.2 99.00 99.00 99.00 999 1014.2   2.7   4.1  -6.3 99.0 99.00
2003 01 04 20 324  9.2 12.6 99.00 99.00 99.00 999 1014.9   2.9   4.1  -6.0 99.0 99.00
2003 01 04 21 307  8.6 10.4 99.00 99.00 99.00 999 1016.2   3.2   4.1  -5.7 99.0 99.00
2003 01 04 22 310  7.2  8.8 99.00 99.00 99.00 999 1017.3   2.8   4.1  -5.8 99.0 99.00
2003 01 04 23 308  8.0  8.7 99.00 99.00 99.00 999 1017.9   2.7   4.1  -6.2 99.0 99.00
2003 01 05 00 300  5.0  6.3 99.00 99.00 99.00 999 1018.5   2.3   4.1  -6.1 99.0 99.00
