YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
85 10 25 14 280 02.6 03.1 99.00 99.00 99.00 999 1019.6  17.0  17.9 999.0 99.0
85 10 25 15 340 04.6 05.1 99.00 99.00 99.00 999 1019.9  19.1  17.9 999.0 99.0
85 10 25 16 330 06.2 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
85 10 25 17 340 06.7 07.7 99.00 99.00 99.00 999 1019.4  20.3  17.9 999.0 99.0
85 10 25 18 320 05.7 07.2 99.00 99.00 99.00 999 1019.0  20.1  18.1 999.0 99.0
85 10 25 19 330 06.2 07.7 99.00 99.00 99.00 999 1018.9  20.2  18.1 999.0 99.0
85 10 25 20 310 07.2 08.3 99.00 99.00 99.00 999 1019.2  20.5  18.2 999.0 99.0
85 10 25 21 300 05.1 06.7 99.00 99.00 99.00 999 1019.4  20.2  18.0 999.0 99.0
85 10 25 22 300 04.1 04.6 99.00 99.00 99.00 999 1019.7  19.6  17.9 999.0 99.0
85 10 25 23 310 04.1 04.6 99.00 99.00 99.00 999 1020.2  18.4  17.9 999.0 99.0
85 10 26 00 310 03.1 04.1 99.00 99.00 99.00 999 1020.9  17.3  17.8 999.0 99.0
85 10 26 01 290 03.6 04.1 99.00 99.00 99.00 999 1021.1  16.2  17.7 999.0 99.0
85 10 26 02 310 03.6 04.1 99.00 99.00 99.00 999 1021.5  15.6  17.6 999.0 99.0
85 10 26 03 320 05.1 05.7 99.00 99.00 99.00 999 1022.2  15.2  17.4 999.0 99.0
85 10 26 04 330 05.1 05.7 99.00 99.00 99.00 999 1022.5  15.0  17.5 999.0 99.0
85 10 26 05 350 04.1 04.6 99.00 99.00 99.00 999 1023.0  14.7  17.0 999.0 99.0
85 10 26 06 320 03.6 04.1 99.00 99.00 99.00 999 1023.4  13.6  16.9 999.0 99.0
85 10 26 07 320 02.6 03.1 99.00 99.00 99.00 999 1023.6  12.1  16.6 999.0 99.0
85 10 26 08 340 03.6 04.1 99.00 99.00 99.00 999 1023.6  12.4  17.0 999.0 99.0
85 10 26 09 320 02.6 03.1 99.00 99.00 99.00 999 1024.1  12.1  16.6 999.0 99.0
85 10 26 10 320 04.1 04.6 99.00 99.00 99.00 999 1024.5  12.2  16.4 999.0 99.0
85 10 26 11 320 03.6 04.1 99.00 99.00 99.00 999 1024.6  12.2  16.5 999.0 99.0
85 10 26 12 310 04.1 99.0 99.00 99.00 99.00 999 9999.0  12.5  16.6 999.0 99.0
85 10 26 13 320 03.6 99.0 99.00 99.00 99.00 999 1025.6  12.4  16.8 999.0 99.0
85 10 26 14 320 01.5 01.5 99.00 99.00 99.00 999 1025.9  13.4  16.9 999.0 99.0
85 10 26 15 350 02.1 02.6 99.00 99.00 99.00 999 1025.8  14.7  16.8 999.0 99.0
85 10 26 16 000 00.0 00.0 99.00 99.00 99.00 999 1025.3  15.1  17.0 999.0 99.0
85 10 26 17 140 00.5 00.5 99.00 99.00 99.00 999 1024.5  15.6  17.1 999.0 99.0
85 10 26 18 130 01.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
85 10 26 19 150 01.5 99.0 99.00 99.00 99.00 999 1022.9  16.6 999.0 999.0 99.0
85 10 27 00 220 03.1 03.1 99.00 99.00 99.00 999 1022.4  16.5 999.0 999.0 99.0
85 10 27 01 230 04.1 04.6 99.00 99.00 99.00 999 1022.2  15.9  17.1 999.0 99.0
85 10 27 02 220 04.1 04.6 99.00 99.00 99.00 999 1022.3  15.6  17.1 999.0 99.0
85 10 27 03 220 03.6 04.1 99.00 99.00 99.00 999 1022.3  15.3  17.0 999.0 99.0
85 10 27 04 210 04.1 04.6 99.00 99.00 99.00 999 1022.2  14.5  16.8 999.0 99.0
85 10 27 05 220 03.6 04.1 99.00 99.00 99.00 999 1022.0  14.0  16.8 999.0 99.0
85 10 27 06 220 03.6 04.1 99.00 99.00 99.00 999 1021.7  13.5  16.6 999.0 99.0
85 10 27 07 220 03.1 03.6 99.00 99.00 99.00 999 1021.5  13.1  16.8 999.0 99.0
85 10 27 08 210 05.1 05.1 99.00 99.00 99.00 999 1021.3  12.7  16.8 999.0 99.0
85 10 27 11 220 06.2 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
85 10 27 12 230 07.2 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
85 10 27 15 210 05.1 05.7 99.00 99.00 99.00 999 1021.7  14.2  17.6 999.0 99.0
85 10 27 16 210 07.7 08.8 99.00 99.00 99.00 999 1021.2  16.1  17.7 999.0 99.0
85 10 27 17 190 05.1 99.0 99.00 99.00 99.00 999 1019.9  16.7  17.1 999.0 99.0
85 10 27 18 190 07.2 07.7 99.00 99.00 99.00 999 1019.0  18.0  17.2 999.0 99.0
85 10 27 19 210 05.1 06.2 99.00 99.00 99.00 999 1018.4  19.0  17.4 999.0 99.0
85 10 27 20 220 05.1 06.2 99.00 99.00 99.00 999 1018.0  19.5  17.6 999.0 99.0
85 10 27 21 210 05.1 05.7 99.00 99.00 99.00 999 1017.8  19.6  17.7 999.0 99.0
85 10 27 22 220 04.6 05.1 99.00 99.00 99.00 999 1017.9  18.9  17.5 999.0 99.0
85 10 27 23 210 02.6 03.1 99.00 99.00 99.00 999 1017.9  18.0  17.6 999.0 99.0
85 10 28 00 200 04.6 05.1 99.00 99.00 99.00 999 1017.6  17.6  17.6 999.0 99.0
85 10 28 01 210 03.6 04.1 99.00 99.00 99.00 999 1017.3  16.8  17.5 999.0 99.0
85 10 28 02 230 03.1 04.1 99.00 99.00 99.00 999 1017.7  16.8  17.3 999.0 99.0
85 10 28 03 250 04.1 05.1 99.00 99.00 99.00 999 1017.5  16.6  17.4 999.0 99.0
