YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 03 05 306  6.0  6.6 99.00 99.00 99.00 999 1029.7  -3.5  -0.2 999.0 99.0 99.00
2001 01 03 06 287  5.1  5.6 99.00 99.00 99.00 999 1029.4  -3.9  -0.1 999.0 99.0 99.00
2001 01 03 07 291  5.7  6.4 99.00 99.00 99.00 999 1029.4  -4.3  -0.4 999.0 99.0 99.00
2001 01 03 08 291  5.6  6.7 99.00 99.00 99.00 999 1029.3  -4.5  -0.5 999.0 99.0 99.00
2001 01 03 09 285  5.0  5.7 99.00 99.00 99.00 999 1029.2  -4.7  -0.6 999.0 99.0 99.00
2001 01 03 10 290  7.4  8.3 99.00 99.00 99.00 999 1029.1  -5.0  -0.6 999.0 99.0 99.00
2001 01 03 11 286  6.3  7.3 99.00 99.00 99.00 999 1029.2  -5.3  -0.6 999.0 99.0 99.00
2001 01 03 12 300  6.3  7.3 99.00 99.00 99.00 999 1029.0  -5.3  -0.7 999.0 99.0 99.00
2001 01 03 13 273  5.0  5.8 99.00 99.00 99.00 999 1028.9  -5.3  -0.5 999.0 99.0 99.00
2001 01 03 14 270  4.9  5.8 99.00 99.00 99.00 999 1029.0  -5.1  -0.1 999.0 99.0 99.00
2001 01 03 15 290  4.7  5.4 99.00 99.00 99.00 999 1028.7  -4.5  -0.1 999.0 99.0 99.00
2001 01 03 16 292  5.3  5.9 99.00 99.00 99.00 999 1028.1  -3.5   0.0 999.0 99.0 99.00
2001 01 03 17 297  3.3  3.7 99.00 99.00 99.00 999 1026.8  -2.6   0.1 999.0 99.0 99.00
2001 01 03 18 279  2.7  3.0 99.00 99.00 99.00 999 1025.2  -1.2   0.3 999.0 99.0 99.00
2001 01 03 19 226  2.4  2.7 99.00 99.00 99.00 999 1024.0  -0.5   0.4 999.0 99.0 99.00
2001 01 03 20 226  2.2  2.5 99.00 99.00 99.00 999 1023.1   0.3   0.6 999.0 99.0 99.00
2001 01 03 21 205  3.4  3.6 99.00 99.00 99.00 999 1022.2   0.4   0.6 999.0 99.0 99.00
2001 01 03 22 177  5.4  5.9 99.00 99.00 99.00 999 1022.0  -0.8   0.3 999.0 99.0 99.00
2001 01 03 23 202  4.7  5.2 99.00 99.00 99.00 999 1022.4  -0.8   0.2 999.0 99.0 99.00
2001 01 04 00 205  4.0  4.2 99.00 99.00 99.00 999 1021.9  -0.3   0.2 999.0 99.0 99.00
2001 01 04 01 197  4.1  4.3 99.00 99.00 99.00 999 1021.2  -0.3   0.4 999.0 99.0 99.00
2001 01 04 02 187  4.9  5.5 99.00 99.00 99.00 999 1020.3  -0.3   0.3 999.0 99.0 99.00
2001 01 04 03 176  6.6  7.3 99.00 99.00 99.00 999 1019.5  -0.4   0.2 999.0 99.0 99.00
2001 01 04 04 180  9.0  9.7 99.00 99.00 99.00 999 1019.2  -0.3   0.4 999.0 99.0 99.00
2001 01 04 05 192  6.8  7.4 99.00 99.00 99.00 999 1018.3  -0.7   0.5 999.0 99.0 99.00
2001 01 04 06 221  4.5  4.9 99.00 99.00 99.00 999 1017.2  -1.6   0.4 999.0 99.0 99.00
2001 01 04 07 242  4.5  4.9 99.00 99.00 99.00 999 1016.9  -2.4   0.2 999.0 99.0 99.00
2001 01 04 08 270  3.0  3.4 99.00 99.00 99.00 999 1017.1  -2.8   0.0 999.0 99.0 99.00
2001 01 04 09 295  3.6  4.0 99.00 99.00 99.00 999 1016.8  -3.0   0.0 999.0 99.0 99.00
2001 01 04 10 316  2.3  2.7 99.00 99.00 99.00 999 1016.8  -3.2  -0.1 999.0 99.0 99.00
2001 01 04 11 291  2.8  3.1 99.00 99.00 99.00 999 1017.2  -2.5  -0.2 999.0 99.0 99.00
2001 01 04 12 294  4.0  4.5 99.00 99.00 99.00 999 1017.6  -2.1   0.0 999.0 99.0 99.00
2001 01 04 13 293  6.3  7.1 99.00 99.00 99.00 999 1018.0  -1.9   0.1 999.0 99.0 99.00
2001 01 04 14 299  3.0  3.4 99.00 99.00 99.00 999 1018.3  -1.6   0.3 999.0 99.0 99.00
2001 01 04 15 288  4.3  4.8 99.00 99.00 99.00 999 1018.9  -0.1   0.5 999.0 99.0 99.00
2001 01 04 16 286  3.6  4.4 99.00 99.00 99.00 999 1018.6   0.6   0.6 999.0 99.0 99.00
2001 01 04 17 292  7.6 11.0 99.00 99.00 99.00 999 1018.3   0.9   0.7 999.0 99.0 99.00
2001 01 04 18 296  8.2  9.0 99.00 99.00 99.00 999 1017.7   0.9   0.8 999.0 99.0 99.00
2001 01 04 19 310  5.8  7.5 99.00 99.00 99.00 999 1017.4   0.9   0.7 999.0 99.0 99.00
2001 01 04 20 310  6.1  6.7 99.00 99.00 99.00 999 1017.4   1.0   0.8 999.0 99.0 99.00
2001 01 04 21 321  6.5  7.6 99.00 99.00 99.00 999 1017.7   1.0   0.8 999.0 99.0 99.00
2001 01 04 22 313  5.0  5.4 99.00 99.00 99.00 999 1017.9   0.7   0.6 999.0 99.0 99.00
2001 01 04 23 303  2.9  3.4 99.00 99.00 99.00 999 1018.1   0.4   0.6 999.0 99.0 99.00
2001 01 05 00 302  3.0  3.5 99.00 99.00 99.00 999 1018.1   0.2   0.5 999.0 99.0 99.00
2001 01 05 01 313  6.5  7.4 99.00 99.00 99.00 999 1017.8   0.2   0.5 999.0 99.0 99.00
2001 01 05 02 292  4.2  5.1 99.00 99.00 99.00 999 1017.8  -0.1   0.4 999.0 99.0 99.00
2001 01 05 03 240  2.6  2.8 99.00 99.00 99.00 999 1017.7  -0.9   0.4 999.0 99.0 99.00
2001 01 05 04 218  3.1  3.4 99.00 99.00 99.00 999 1017.3  -1.1   0.5 999.0 99.0 99.00
2001 01 05 05 217  2.2  2.4 99.00 99.00 99.00 999 1016.4  -1.6   0.3 999.0 99.0 99.00
2001 01 05 06 214  2.8  2.9 99.00 99.00 99.00 999 1015.8  -1.3   0.4 999.0 99.0 99.00
2001 01 05 07 247  3.4  3.7 99.00 99.00 99.00 999 1015.8  -2.2   0.3 999.0 99.0 99.00
2001 01 05 08 204  3.9  4.2 99.00 99.00 99.00 999 1015.0  -1.8   0.2 999.0 99.0 99.00
2001 01 05 09 213  4.2  4.5 99.00 99.00 99.00 999 1013.9  -1.3   0.3 999.0 99.0 99.00
2001 01 05 10 215  4.4  4.8 99.00 99.00 99.00 999 1013.1  -1.6   0.3 999.0 99.0 99.00
2001 01 05 11 185  6.0  6.8 99.00 99.00 99.00 999 1012.2  -0.9   0.4 999.0 99.0 99.00
2001 01 05 12 167  8.9  9.7 99.00 99.00 99.00 999 1011.4  -0.3   0.6 999.0 99.0 99.00
2001 01 05 13 150  6.9  7.6 99.00 99.00 99.00 999 1010.3  -0.5   0.8 999.0 99.0 99.00
2001 01 05 14 190 10.2 11.3 99.00 99.00 99.00 999 1010.2  -0.5   0.8 999.0 99.0 99.00
2001 01 05 15 189  9.6 10.9 99.00 99.00 99.00 999 1009.3  -1.0   0.6 999.0 99.0 99.00
2001 01 05 16 173 11.3 13.3 99.00 99.00 99.00 999 1007.1  -1.7   1.0 999.0 99.0 99.00
2001 01 05 17 191 11.1 12.6 99.00 99.00 99.00 999 1005.3  -0.9   1.4 999.0 99.0 99.00
2001 01 05 18 194  6.7  7.2 99.00 99.00 99.00 999 1003.9  -0.5   1.7 999.0 99.0 99.00
2001 01 05 19 182  6.9  7.5 99.00 99.00 99.00 999 1002.7  -0.8   1.7 999.0 99.0 99.00
2001 01 05 20 194  6.2  6.7 99.00 99.00 99.00 999 1002.2  -0.7   2.0 999.0 99.0 99.00
2001 01 05 21 206  3.7  4.1 99.00 99.00 99.00 999 1002.4  -0.5   2.1 999.0 99.0 99.00
2001 01 05 22 192  3.8  4.0 99.00 99.00 99.00 999 1002.4  -0.1   2.1 999.0 99.0 99.00
2001 01 05 23 204  3.0  3.2 99.00 99.00 99.00 999 1002.7   0.0   2.1 999.0 99.0 99.00
2001 01 06 00 209  3.0  3.2 99.00 99.00 99.00 999 1003.2   0.0   2.2 999.0 99.0 99.00
2001 01 06 01 202  4.8  5.3 99.00 99.00 99.00 999 1003.0   0.1   2.1 999.0 99.0 99.00
2001 01 06 02 221  2.0  2.3 99.00 99.00 99.00 999 1002.9   0.0   2.2 999.0 99.0 99.00
2001 01 06 03 280  0.3  0.5 99.00 99.00 99.00 999 1002.7  -0.4   2.1 999.0 99.0 99.00
2001 01 06 04 292  2.4  2.7 99.00 99.00 99.00 999 1002.8  -0.9   2.0 999.0 99.0 99.00
2001 01 06 05 271  3.8  3.9 99.00 99.00 99.00 999 1002.7  -0.4   2.2 999.0 99.0 99.00
2001 01 06 06 251  3.1  3.4 99.00 99.00 99.00 999 1002.4   0.2   2.1 999.0 99.0 99.00
2001 01 06 07 276  3.7  3.9 99.00 99.00 99.00 999 1002.9   0.4   2.0 999.0 99.0 99.00
2001 01 06 08 275  5.9  6.6 99.00 99.00 99.00 999 1003.3   0.9   1.6 999.0 99.0 99.00
2001 01 06 09 272  5.7  6.0 99.00 99.00 99.00 999 1003.7   1.2   1.6 999.0 99.0 99.00
