YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
95 01 01 00 056 03.2 03.5 99.00 99.00 99.00 999 1025.4  03.3  05.9 999.0 99.0
95 01 01 01 029 03.6 03.9 99.00 99.00 99.00 999 1024.5  03.1  05.9 999.0 99.0
95 01 01 02 047 05.9 06.3 99.00 99.00 99.00 999 1022.9  03.0  05.9 999.0 99.0
95 01 01 03 032 04.6 05.0 99.00 99.00 99.00 999 1022.0  03.0  06.1 999.0 99.0
95 01 01 04 030 04.7 05.0 99.00 99.00 99.00 999 1020.3  03.3  06.1 999.0 99.0
95 01 01 05 024 03.5 03.9 99.00 99.00 99.00 999 1018.7  04.0  06.0 999.0 99.0
95 01 01 06 017 03.3 03.6 99.00 99.00 99.00 999 1017.4  04.1  06.0 999.0 99.0
95 01 01 07 309 04.7 05.1 99.00 99.00 99.00 999 1016.6  03.6  06.1 999.0 99.0
95 01 01 08 318 04.7 05.0 99.00 99.00 99.00 999 1016.2  02.8  06.1 999.0 99.0
95 01 01 09 306 03.9 04.5 99.00 99.00 99.00 999 1015.6  02.9  06.0 999.0 99.0
95 01 01 10 352 03.3 03.9 99.00 99.00 99.00 999 1014.2  03.3  06.1 999.0 99.0
95 01 01 11 337 01.3 01.5 99.00 99.00 99.00 999 1013.9  04.0  06.4 999.0 99.0
95 01 01 12 253 03.7 04.1 99.00 99.00 99.00 999 1014.0  03.5  06.0 999.0 99.0
95 01 01 13 251 05.3 05.6 99.00 99.00 99.00 999 1015.4  03.4  05.9 999.0 99.0
95 01 01 14 225 03.1 03.5 99.00 99.00 99.00 999 1014.9  03.8  06.0 999.0 99.0
95 01 01 15 254 03.6 03.9 99.00 99.00 99.00 999 1015.0  04.1  06.2 999.0 99.0
95 01 01 16 261 02.9 03.2 99.00 99.00 99.00 999 1014.8  04.7  06.3 999.0 99.0
95 01 01 17 196 03.5 03.9 99.00 99.00 99.00 999 1013.6  05.6  06.3 999.0 99.0
95 01 01 18 169 05.0 05.4 99.00 99.00 99.00 999 1013.1  06.1  06.5 999.0 99.0
95 01 01 19 163 05.0 05.5 99.00 99.00 99.00 999 1012.8  06.5  06.6 999.0 99.0
95 01 01 20 154 06.1 06.5 99.00 99.00 99.00 999 1012.9  07.0  06.6 999.0 99.0
95 01 01 21 159 07.3 07.8 99.00 99.00 99.00 999 1013.2  07.0  06.7 999.0 99.0
95 01 01 22 169 06.3 06.5 99.00 99.00 99.00 999 1013.2  07.8  06.6 999.0 99.0
95 01 01 23 182 05.3 05.8 99.00 99.00 99.00 999 1013.2  07.2  06.5 999.0 99.0
95 01 02 00 167 07.0 07.4 99.00 99.00 99.00 999 1012.7  08.4  06.4 999.0 99.0
95 01 02 01 185 05.3 05.7 99.00 99.00 99.00 999 1012.5  07.6  06.5 999.0 99.0
95 01 02 02 168 04.6 04.9 99.00 99.00 99.00 999 1011.9  07.5  06.6 999.0 99.0
95 01 02 03 178 04.7 05.1 99.00 99.00 99.00 999 1011.2  07.2  06.7 999.0 99.0
95 01 02 04 189 05.0 05.5 99.00 99.00 99.00 999 1010.2  07.2  06.7 999.0 99.0
95 01 02 05 193 04.7 04.8 99.00 99.00 99.00 999 1008.7  07.5  06.7 999.0 99.0
95 01 02 06 185 05.8 06.1 99.00 99.00 99.00 999 1007.6  08.2  06.9 999.0 99.0
