YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
98 01 01 00 311 11.1 12.2 99.00 99.00 99.00 999 1023.7  -1.1   4.1 999.0 99.0
98 01 01 01 315  9.1 11.3 99.00 99.00 99.00 999 1025.2  -1.9   3.5 999.0 99.0
98 01 01 02 314  9.6 12.0 99.00 99.00 99.00 999 1026.9  -2.4   3.4 999.0 99.0
98 01 01 03 312  9.4 12.3 99.00 99.00 99.00 999 1028.1  -3.1   3.3 999.0 99.0
98 01 01 04 309  7.2  8.4 99.00 99.00 99.00 999 1029.2  -3.5   3.1 999.0 99.0
98 01 01 05 306  6.6  8.2 99.00 99.00 99.00 999 1030.1  -3.9   2.9 999.0 99.0
98 01 01 06 301  6.9  8.5 99.00 99.00 99.00 999 1031.3  -4.2   2.6 999.0 99.0
98 01 01 07 309  6.3  7.6 99.00 99.00 99.00 999 1032.4  -4.5   2.3 999.0 99.0
98 01 01 08 310  9.1 10.6 99.00 99.00 99.00 999 1033.3  -4.9   2.2 999.0 99.0
98 01 01 09 305  7.4  8.6 99.00 99.00 99.00 999 1033.6  -5.4   2.1 999.0 99.0
98 01 01 10 298  7.6  8.6 99.00 99.00 99.00 999 1034.2  -5.8   1.9 999.0 99.0
98 01 01 11 303  6.4  7.3 99.00 99.00 99.00 999 1035.1  -5.6   1.8 999.0 99.0
98 01 01 12 283  6.8  7.7 99.00 99.00 99.00 999 1035.9  -6.0   1.9 999.0 99.0
98 01 01 13 278  5.7  7.1 99.00 99.00 99.00 999 1036.6  -5.9   1.6 999.0 99.0
98 01 01 14 270  6.1  7.1 99.00 99.00 99.00 999 1037.6  -5.6   2.2 999.0 99.0
98 01 01 15 263  4.9  5.7 99.00 99.00 99.00 999 1038.3  -4.7   2.0 999.0 99.0
98 01 01 16 258   .4   .7 99.00 99.00 99.00 999 1037.1  -3.6   1.0 999.0 99.0
98 01 01 17 255   .2   .7 99.00 99.00 99.00 999 1036.4  -1.8    .8 999.0 99.0
98 01 01 18 156  4.2  4.6 99.00 99.00 99.00 999 1035.1  -2.5   2.3 999.0 99.0
98 01 01 19 189  7.9  8.7 99.00 99.00 99.00 999 1034.0   -.8   2.8 999.0 99.0
98 01 01 20 201  7.4  8.5 99.00 99.00 99.00 999 1033.4   -.2   3.5 999.0 99.0
98 01 01 21 205  8.7  9.6 99.00 99.00 99.00 999 1033.0    .3   3.7 999.0 99.0
98 01 01 22 197  8.7  9.8 99.00 99.00 99.00 999 1032.4    .7   3.9 999.0 99.0
98 01 01 23 191 10.5 11.7 99.00 99.00 99.00 999 1032.1   1.3   4.0 999.0 99.0
98 01 02 00 192 12.6 14.0 99.00 99.00 99.00 999 1031.5   1.6   4.2 999.0 99.0
98 01 02 01 189 11.5 13.8 99.00 99.00 99.00 999 1030.6   1.6   4.0 999.0 99.0
98 01 02 02 199 11.7 12.7 99.00 99.00 99.00 999 1030.0   2.1   4.0 999.0 99.0
98 01 02 03 207 14.0 15.3 99.00 99.00 99.00 999 1029.1   2.5   4.0 999.0 99.0
98 01 02 04 213 13.7 16.2 99.00 99.00 99.00 999 1028.0   2.8   3.9 999.0 99.0
98 01 02 05 214 13.1 14.5 99.00 99.00 99.00 999 1027.2   2.7   3.9 999.0 99.0
98 01 02 06 222 10.0 11.3 99.00 99.00 99.00 999 1027.4   2.9   4.0 999.0 99.0
98 01 02 07 212 10.7 11.9 99.00 99.00 99.00 999 1026.9   2.9   4.1 999.0 99.0
98 01 02 08 236  7.1  8.3 99.00 99.00 99.00 999 1027.0   3.2   4.1 999.0 99.0
98 01 02 09 241  6.6  7.8 99.00 99.00 99.00 999 1027.0   3.3   4.1 999.0 99.0
98 01 02 10 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
98 01 02 11 229  4.6  5.2 99.00 99.00 99.00 999 1027.8   3.3   4.3 999.0 99.0
98 01 02 12 216  6.5  7.2 99.00 99.00 99.00 999 1028.6   3.6   4.5 999.0 99.0
98 01 02 13 212  6.7  7.2 99.00 99.00 99.00 999 1029.3   3.5   4.3 999.0 99.0
98 01 02 14 219  5.8  6.4 99.00 99.00 99.00 999 1029.7   3.7   4.4 999.0 99.0
98 01 02 15 216  6.0  6.4 99.00 99.00 99.00 999 1030.3   4.3   4.4 999.0 99.0
98 01 02 16 207  4.5  4.8 99.00 99.00 99.00 999 1030.0   5.3   4.5 999.0 99.0
98 01 02 17 164  4.4  4.7 99.00 99.00 99.00 999 1029.1   5.8   4.7 999.0 99.0
98 01 02 18 142  5.4  5.7 99.00 99.00 99.00 999 1028.4   6.0   4.5 999.0 99.0
98 01 02 19 155  6.7  6.9 99.00 99.00 99.00 999 1027.7   6.8   4.6 999.0 99.0
98 01 02 20 161  7.7  8.4 99.00 99.00 99.00 999 1027.5   7.7   4.8 999.0 99.0
98 01 02 21 159  7.4  7.7 99.00 99.00 99.00 999 1027.9   8.1   4.8 999.0 99.0
98 01 02 22 163  6.9  7.2 99.00 99.00 99.00 999 1028.3   7.4   4.8 999.0 99.0
98 01 02 23 162  6.6  6.7 99.00 99.00 99.00 999 1028.8   8.4   4.9 999.0 99.0
98 01 03 00 172  6.3  6.4 99.00 99.00 99.00 999 1029.1   9.5   4.8 999.0 99.0
98 01 03 01 198  6.0  6.2 99.00 99.00 99.00 999 1029.3  11.0   4.8 999.0 99.0
98 01 03 02 232  7.9  8.8 99.00 99.00 99.00 999 1029.5  10.9   4.7 999.0 99.0
98 01 03 03 232  9.3  9.9 99.00 99.00 99.00 999 1029.6  10.4   4.7 999.0 99.0
98 01 03 04 238  7.7  8.4 99.00 99.00 99.00 999 1029.3   9.5   4.7 999.0 99.0
98 01 03 05 229  6.9  7.5 99.00 99.00 99.00 999 1028.7   9.0   4.6 999.0 99.0
98 01 03 06 218  5.5  5.8 99.00 99.00 99.00 999 1028.6   8.6   4.7 999.0 99.0
98 01 03 07 206  4.3  4.6 99.00 99.00 99.00 999 1028.5   9.1   4.9 999.0 99.0
98 01 03 08 207  7.1  7.7 99.00 99.00 99.00 999 1028.1   9.3   4.9 999.0 99.0
98 01 03 09 196  5.4  5.9 99.00 99.00 99.00 999 1027.9   8.1   4.7 999.0 99.0
98 01 03 10 154  4.9  5.2 99.00 99.00 99.00 999 1027.8   7.1   4.8 999.0 99.0
98 01 03 11 196  7.6  8.3 99.00 99.00 99.00 999 1027.8   7.8   4.6 999.0 99.0
98 01 03 12 201  3.7  4.3 99.00 99.00 99.00 999 1028.5   6.9   4.4 999.0 99.0
98 01 03 13 193  7.4  8.1 99.00 99.00 99.00 999 1028.0   7.0   4.6 999.0 99.0
98 01 03 14 213  6.0  6.3 99.00 99.00 99.00 999 1028.6   6.8   4.8 999.0 99.0
98 01 03 15 188  3.7  4.3 99.00 99.00 99.00 999 1029.0   7.2   4.8 999.0 99.0
98 01 03 16 166  4.0  4.3 99.00 99.00 99.00 999 1028.3   7.1   4.9 999.0 99.0
98 01 03 17 172  5.6  5.8 99.00 99.00 99.00 999 1027.1   8.2   5.1 999.0 99.0
98 01 03 18 156  6.0  6.2 99.00 99.00 99.00 999 1026.4   7.8   4.9 999.0 99.0
98 01 03 19 161  6.5  6.8 99.00 99.00 99.00 999 1025.9   9.1   5.1 999.0 99.0
98 01 03 20 168  7.6  7.9 99.00 99.00 99.00 999 1025.8   9.5   5.1 999.0 99.0
98 01 03 21 176  6.5  6.8 99.00 99.00 99.00 999 1025.8  11.0   5.1 999.0 99.0
98 01 03 22 178  6.2  6.6 99.00 99.00 99.00 999 1026.1   9.9   5.1 999.0 99.0
98 01 03 23 177  6.7  6.9 99.00 99.00 99.00 999 1026.4  10.1   5.1 999.0 99.0
98 01 04 00 174  4.9  5.2 99.00 99.00 99.00 999 1026.7   8.2   5.0 999.0 99.0
98 01 04 01 195  5.1  5.3 99.00 99.00 99.00 999 1026.7  11.5   4.9 999.0 99.0
98 01 04 02 209  5.0  5.1 99.00 99.00 99.00 999 1026.9  12.8   4.9 999.0 99.0
98 01 04 03 212  5.5  5.9 99.00 99.00 99.00 999 1026.7  12.5   4.9 999.0 99.0
98 01 04 04 213  4.0  4.6 99.00 99.00 99.00 999 1026.6  12.2   4.9 999.0 99.0
98 01 04 05 233  2.6  3.0 99.00 99.00 99.00 999 1026.5  11.3   4.9 999.0 99.0
98 01 04 06 243  1.2  2.0 99.00 99.00 99.00 999 1026.3  11.1   5.1 999.0 99.0
98 01 04 07 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
