YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 03 05 198  3.8  4.0 99.00 99.00 99.00 999 1019.0   5.5   4.7   5.3 99.0 99.00
2004 01 03 06 188  4.6  4.7 99.00 99.00 99.00 999 1018.4   5.8   4.7   5.7 99.0 99.00
2004 01 03 07 201  2.8  2.9 99.00 99.00 99.00 999 1018.0   5.6   4.8   5.5 99.0 99.00
2004 01 03 08 201  1.2  1.4 99.00 99.00 99.00 999 1017.8   5.8   4.8   5.7 99.0 99.00
2004 01 03 09 181  2.9  3.1 99.00 99.00 99.00 999 1017.3   6.5   4.7   6.4 99.0 99.00
2004 01 03 10 168  3.8  4.2 99.00 99.00 99.00 999 1016.8   6.5   4.6   5.6 99.0 99.00
2004 01 03 11 158  5.3  5.7 99.00 99.00 99.00 999 1016.2   6.3   4.6   5.2 99.0 99.00
2004 01 03 12 174  3.9  4.3 99.00 99.00 99.00 999 1016.5   6.0   4.6   5.0 99.0 99.00
2004 01 03 13 172  5.9  6.2 99.00 99.00 99.00 999 1016.6   6.7   4.5   5.0 99.0 99.00
2004 01 03 14 183  5.6  5.8 99.00 99.00 99.00 999 1017.2   6.8   4.6   4.9 99.0 99.00
2004 01 03 15 172  4.5  4.8 99.00 99.00 99.00 999 1017.2   6.9   4.7   4.8 99.0 99.00
2004 01 03 16 170  5.8  6.1 99.00 99.00 99.00 999 1016.4   7.4   4.7   5.1 99.0 99.00
2004 01 03 17 175  3.9  4.0 99.00 99.00 99.00 999 1015.1   7.9   4.7   5.4 99.0 99.00
2004 01 03 18 178  3.3  4.2 99.00 99.00 99.00 999 1014.0   8.9   4.8   6.3 99.0 99.00
2004 01 03 19 173  3.8  4.3 99.00 99.00 99.00 999 1013.5  11.3   4.8   7.2 99.0 99.00
2004 01 03 20 196  4.2  4.7 99.00 99.00 99.00 999 1013.5  15.2   4.9   8.8 99.0 99.00
2004 01 03 21 172  6.6  6.8 99.00 99.00 99.00 999 1013.5  13.3   4.9   8.3 99.0 99.00
2004 01 03 22 175  7.7  7.9 99.00 99.00 99.00 999 1013.3  14.9   5.0   9.3 99.0 99.00
2004 01 03 23 181  7.2  7.5 99.00 99.00 99.00 999 1013.5  12.0   5.0   8.2 99.0 99.00
2004 01 04 00 192  5.8  6.0 99.00 99.00 99.00 999 1013.7  11.6   5.0   8.3 99.0 99.00
2004 01 04 01 210  8.6  8.8 99.00 99.00 99.00 999 1013.7  16.4   5.0  10.2 99.0 99.00
2004 01 04 02 211  8.7  9.3 99.00 99.00 99.00 999 1013.7  16.9   4.9  10.4 99.0 99.00
2004 01 04 03 214  8.2  8.6 99.00 99.00 99.00 999 1013.4  16.4   4.9  10.1 99.0 99.00
2004 01 04 04 224  9.5  9.9 99.00 99.00 99.00 999 1013.4  17.3   5.0  10.6 99.0 99.00
2004 01 04 05 222  8.0  8.3 99.00 99.00 99.00 999 1012.9  16.7   4.9  10.7 99.0 99.00
2004 01 04 06 219  8.4  8.8 99.00 99.00 99.00 999 1012.4  17.0   4.9  11.1 99.0 99.00
2004 01 04 07 230  8.7  9.0 99.00 99.00 99.00 999 1012.8  16.6   5.0  11.3 99.0 99.00
2004 01 04 08 228  8.2  8.8 99.00 99.00 99.00 999 1012.5  16.5   5.1  11.7 99.0 99.00
2004 01 04 09 238  7.7  8.2 99.00 99.00 99.00 999 1012.7  16.3   5.1  12.0 99.0 99.00
2004 01 04 10 231  6.2  6.8 99.00 99.00 99.00 999 1012.4  14.5   5.1  11.3 99.0 99.00
2004 01 04 11 212  5.2  5.5 99.00 99.00 99.00 999 1012.4  13.9   5.1  11.1 99.0 99.00
2004 01 04 12 207  5.4  5.6 99.00 99.00 99.00 999 1012.4  14.3   5.1  11.5 99.0 99.00
2004 01 04 13 255  1.7  2.4 99.00 99.00 99.00 999 1012.8  15.3   4.9  12.2 99.0 99.00
2004 01 04 14 180  3.5  4.0 99.00 99.00 99.00 999 1013.3  13.5   5.0  11.3 99.0 99.00
2004 01 04 15 217  3.8  4.5 99.00 99.00 99.00 999 1013.2  15.0   5.0  12.4 99.0 99.00
2004 01 04 16 213  6.2  6.7 99.00 99.00 99.00 999 1013.0  14.9   4.9  12.0 99.0 99.00
2004 01 04 17 228  5.4  6.0 99.00 99.00 99.00 999 1011.9  18.7   5.0  13.5 99.0 99.00
2004 01 04 18 199  6.3  6.9 99.00 99.00 99.00 999 1010.8  18.4   5.2  12.7 99.0 99.00
2004 01 04 19   4  8.7  9.4 99.00 99.00 99.00 999 1010.8   9.2   5.2   8.5 99.0 99.00
2004 01 04 20   2  7.1  7.3 99.00 99.00 99.00 999 1011.2  12.3   5.0  11.1 99.0 99.00
2004 01 04 21   3  9.6 10.4 99.00 99.00 99.00 999 1012.1   9.3   5.2   8.2 99.0 99.00
2004 01 04 22   4  9.6 10.4 99.00 99.00 99.00 999 1012.8   8.4   5.2   6.3 99.0 99.00
2004 01 04 23 358  7.1  7.5 99.00 99.00 99.00 999 1013.3   8.1   5.7   6.1 99.0 99.00
2004 01 05 00   4  5.8  6.4 99.00 99.00 99.00 999 1013.5   7.3   5.3   5.5 99.0 99.00
2004 01 05 01  20  6.5  6.9 99.00 99.00 99.00 999 1012.9   7.1   5.0   4.9 99.0 99.00
2004 01 05 02   4  5.8  6.1 99.00 99.00 99.00 999 1013.5   7.3   5.1   4.9 99.0 99.00
2004 01 05 03   9  5.6  5.7 99.00 99.00 99.00 999 1012.4   7.0   5.1   4.9 99.0 99.00
2004 01 05 04  18  4.4  4.6 99.00 99.00 99.00 999 1011.4   7.2   5.1   5.1 99.0 99.00
2004 01 05 05  46  2.9  3.2 99.00 99.00 99.00 999 1010.5   7.6   5.0   6.2 99.0 99.00
2004 01 05 06  61  2.9  3.1 99.00 99.00 99.00 999 1010.2   8.1   5.0   6.7 99.0 99.00
2004 01 05 07  42  2.5  2.5 99.00 99.00 99.00 999 1010.4   7.7   5.0   6.6 99.0 99.00
2004 01 05 08  25  5.3  5.7 99.00 99.00 99.00 999 1009.8   7.2   5.2   6.2 99.0 99.00
2004 01 05 09   3  5.6  5.9 99.00 99.00 99.00 999 1009.8   6.0   5.2   5.4 99.0 99.00
2004 01 05 10   3  7.3  8.1 99.00 99.00 99.00 999 1009.8   5.2   5.2   5.0 99.0 99.00
2004 01 05 11   5  7.1  8.1 99.00 99.00 99.00 999 1010.0   4.8   4.9   4.7 99.0 99.00
2004 01 05 12  10  6.8  7.2 99.00 99.00 99.00 999 1010.1   4.6   5.0   4.4 99.0 99.00
2004 01 05 13   5  6.3  6.9 99.00 99.00 99.00 999 1010.1   4.3   5.0   4.2 99.0 99.00
2004 01 05 14   0  5.6  6.3 99.00 99.00 99.00 999 1011.1   4.4   5.0   4.3 99.0 99.00
