#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2009 01 01 00 00 319 16.1 18.4 99.00 99.00 99.00 999 1017.8  -0.6   4.9 999.0 99.0 99.00
2009 01 01 01 00 329 14.0 17.4 99.00 99.00 99.00 999 1019.3  -1.4   4.8 999.0 99.0 99.00
2009 01 01 02 00 334 14.9 18.4 99.00 99.00 99.00 999 1020.0  -2.2 999.0 999.0 99.0 99.00
2009 01 01 03 00 323 11.8 14.0 99.00 99.00 99.00 999 1021.1  -2.6   4.7 999.0 99.0 99.00
2009 01 01 04 00 309 11.3 14.1 99.00 99.00 99.00 999 9999.0  -2.7   4.5 999.0 99.0 99.00
2009 01 01 05 00 309  8.5 10.1 99.00 99.00 99.00 999 1021.7  -2.7   4.5 -10.7 99.0 99.00
2009 01 01 06 00 314  8.4 10.9 99.00 99.00 99.00 999 1021.7  -2.9   4.2 -11.7 99.0 99.00
2009 01 01 08 00 307  8.8  9.8 99.00 99.00 99.00 999 1023.5  -3.4   4.1 -11.9 99.0 99.00
2009 01 01 10 00 290  7.4  8.2 99.00 99.00 99.00 999 1025.3  -3.6   3.9 -10.9 99.0 99.00
2009 01 01 11 00 302  7.2  8.2 99.00 99.00 99.00 999 1026.4  -3.6   3.7 -11.1 99.0 99.00
2009 01 01 12 00 298  5.5  6.5 99.00 99.00 99.00 999 1027.4  -3.8   3.7 -11.1 99.0 99.00
2009 01 01 13 00 310  6.0  7.1 99.00 99.00 99.00 999 1028.2  -3.6   3.3 -11.3 99.0 99.00
2009 01 01 14 00 320  5.9  6.8 99.00 99.00 99.00 999 1029.3  -3.6   3.6 -11.9 99.0 99.00
2009 01 01 15 00 342  6.1  7.9 99.00 99.00 99.00 999 1029.7  -3.1   3.5 -11.9 99.0 99.00
2009 01 01 16 00 331  6.4  7.6 99.00 99.00 99.00 999 1029.5  -2.6   3.6 -12.7 99.0 99.00
2009 01 01 17 00 347  5.6  6.4 99.00 99.00 99.00 999 1028.4  -2.0   3.7 -13.0 99.0 99.00
2009 01 01 18 00 330  4.1  5.3 99.00 99.00 99.00 999 1027.8  -1.2   3.7 -13.4 99.0 99.00
2009 01 01 19 00 327  2.4  3.1 99.00 99.00 99.00 999 1027.7  -0.6   3.7 -12.4 99.0 99.00
2009 01 01 20 00 315  2.7  3.4 99.00 99.00 99.00 999 1027.2   0.1   3.8 999.0 99.0 99.00
2009 01 01 21 00 294  1.4  1.8 99.00 99.00 99.00 999 1027.4   0.8   3.8 -12.9 99.0 99.00
2009 01 01 22 00 299  2.9  3.2 99.00 99.00 99.00 999 1027.4   0.5   3.8 -13.0 99.0 99.00
