YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
88 01 01 01 200 10.3 11.9 99.00 99.00 99.00 999 1023.0  08.3  04.7 999.0 99.0
88 01 01 02 200 08.3 09.3 99.00 99.00 99.00 999 1023.3  07.8  04.8 999.0 99.0
88 01 01 03 200 07.7 08.3 99.00 99.00 99.00 999 1023.1  07.4  04.9 999.0 99.0
88 01 01 04 190 08.8 09.3 99.00 99.00 99.00 999 1022.5  07.3  05.1 999.0 99.0
88 01 01 05 190 08.8 08.8 99.00 99.00 99.00 999 1021.7  07.2  05.2 999.0 99.0
88 01 01 06 190 08.3 09.3 99.00 99.00 99.00 999 1021.7  07.8  04.7 999.0 99.0
88 01 01 07 180 07.2 07.7 99.00 99.00 99.00 999 1021.5  07.8  04.7 999.0 99.0
88 01 01 08 170 07.7 08.3 99.00 99.00 99.00 999 1021.4  08.2  04.7 999.0 99.0
88 01 01 09 180 06.7 07.2 99.00 99.00 99.00 999 1020.6  08.6  04.8 999.0 99.0
88 01 01 10 200 04.1 04.6 99.00 99.00 99.00 999 1020.7  09.5  04.8 999.0 99.0
88 01 01 11 170 06.2 06.7 99.00 99.00 99.00 999 1020.8  08.7  04.8 999.0 99.0
88 01 01 12 190 04.1 04.6 99.00 99.00 99.00 999 1021.1  09.4  04.9 999.0 99.0
88 01 01 13 190 04.1 04.6 99.00 99.00 99.00 999 1021.9  09.6  05.0 999.0 99.0
88 01 01 14 250 01.5 01.5 99.00 99.00 99.00 999 1022.5  09.9  05.1 999.0 99.0
88 01 01 15 170 02.1 02.1 99.00 99.00 99.00 999 1022.9  09.0  05.2 999.0 99.0
88 01 01 16 190 03.1 03.1 99.00 99.00 99.00 999 1023.1  09.9  05.1 999.0 99.0
88 01 01 17 200 03.1 03.1 99.00 99.00 99.00 999 1022.2  11.0  05.2 999.0 99.0
88 01 01 18 290 04.6 05.1 99.00 99.00 99.00 999 1021.9  11.4  05.1 999.0 99.0
88 01 01 19 270 03.6 03.6 99.00 99.00 99.00 999 1022.3  11.3  05.0 999.0 99.0
88 01 01 20 330 05.7 06.2 99.00 99.00 99.00 999 1023.0  09.6  05.1 999.0 99.0
88 01 01 21 320 06.2 07.2 99.00 99.00 99.00 999 1024.0  08.5  05.1 999.0 99.0
88 01 01 22 300 08.3 09.3 99.00 99.00 99.00 999 1024.8  07.9  05.0 999.0 99.0
88 01 01 23 310 04.1 05.1 99.00 99.00 99.00 999 1025.2  07.4  05.0 999.0 99.0
88 01 02 00 310 05.1 06.2 99.00 99.00 99.00 999 1026.4  07.0  05.0 999.0 99.0
88 01 02 01 330 06.7 07.7 99.00 99.00 99.00 999 1026.2  06.3  05.1 999.0 99.0
88 01 02 02 310 05.7 06.2 99.00 99.00 99.00 999 1026.8  05.8  05.0 999.0 99.0
88 01 02 03 300 06.7 07.2 99.00 99.00 99.00 999 1027.7  05.4  04.9 999.0 99.0
88 01 02 04 310 07.2 08.3 99.00 99.00 99.00 999 1028.2  04.2  04.8 999.0 99.0
88 01 02 05 300 10.3 12.4 99.00 99.00 99.00 999 1029.3  03.5  04.5 999.0 99.0
88 01 02 06 320 07.7 09.3 99.00 99.00 99.00 999 1029.5  02.6  04.5 999.0 99.0
88 01 02 07 310 05.1 06.2 99.00 99.00 99.00 999 1030.3  02.0  04.3 999.0 99.0
88 01 02 08 300 05.7 06.7 99.00 99.00 99.00 999 1030.9  01.4  04.2 999.0 99.0
88 01 02 09 320 06.2 07.2 99.00 99.00 99.00 999 1031.4  01.1  04.1 999.0 99.0
88 01 02 10 320 05.7 07.2 99.00 99.00 99.00 999 1032.0  00.6  04.0 999.0 99.0
88 01 02 11 310 04.6 05.1 99.00 99.00 99.00 999 1033.1  00.3  04.0 999.0 99.0
88 01 02 12 300 03.1 04.1 99.00 99.00 99.00 999 1034.0 -00.2  03.9 999.0 99.0
88 01 02 13 310 06.7 07.7 99.00 99.00 99.00 999 1034.6 -00.8  03.5 999.0 99.0
88 01 02 14 320 06.7 07.7 99.00 99.00 99.00 999 1035.1 -01.4  03.4 999.0 99.0
88 01 02 15 320 07.2 08.3 99.00 99.00 99.00 999 1035.7 -01.6  03.4 999.0 99.0
88 01 02 16 320 05.7 06.7 99.00 99.00 99.00 999 1035.8 -01.8  03.4 999.0 99.0
88 01 02 17 330 05.1 06.2 99.00 99.00 99.00 999 1035.4 -01.5  03.5 999.0 99.0
88 01 02 18 350 03.6 04.6 99.00 99.00 99.00 999 1034.4 -01.3  03.9 999.0 99.0
88 01 02 19 020 02.6 03.6 99.00 99.00 99.00 999 1033.9 -01.1  04.0 999.0 99.0
88 01 02 20 020 03.1 03.6 99.00 99.00 99.00 999 1033.8 -00.7  04.1 999.0 99.0
88 01 02 21 040 02.6 03.1 99.00 99.00 99.00 999 1034.0 -00.5  04.2 999.0 99.0
88 01 02 22 050 01.5 02.1 99.00 99.00 99.00 999 1034.4 -00.7  03.9 999.0 99.0
88 01 02 23 060 01.0 01.0 99.00 99.00 99.00 999 1035.1 -00.8  03.7 999.0 99.0
88 01 03 00 330 03.6 04.1 99.00 99.00 99.00 999 1035.4 -00.7  03.7 999.0 99.0
88 01 03 01 320 03.1 03.6 99.00 99.00 99.00 999 1035.4 -00.8  03.6 999.0 99.0
88 01 03 02 330 02.1 02.6 99.00 99.00 99.00 999 1035.1 -00.8  03.6 999.0 99.0
88 01 03 03 040 02.1 02.1 99.00 99.00 99.00 999 1035.0 -00.6  03.6 999.0 99.0
88 01 03 04 090 01.0 01.5 99.00 99.00 99.00 999 1034.8 -00.7  03.6 999.0 99.0
88 01 03 05 130 03.1 03.6 99.00 99.00 99.00 999 1035.2 -01.3  03.6 999.0 99.0
88 01 03 06 160 02.1 02.6 99.00 99.00 99.00 999 1034.6 -01.0  03.4 999.0 99.0
88 01 03 07 320 01.0 01.5 99.00 99.00 99.00 999 1034.9 -01.7  03.6 999.0 99.0
88 01 03 08 110 02.6 03.1 99.00 99.00 99.00 999 1034.6 -01.1  03.7 999.0 99.0
88 01 03 09 070 01.0 01.5 99.00 99.00 99.00 999 1034.4 -01.3  03.7 999.0 99.0
88 01 03 10 090 01.5 02.1 99.00 99.00 99.00 999 1034.3 -01.3  03.7 999.0 99.0
88 01 03 11 080 02.1 03.1 99.00 99.00 99.00 999 1034.4 -01.3  03.6 999.0 99.0
88 01 03 12 090 03.6 04.1 99.00 99.00 99.00 999 1034.2 -01.6  03.3 999.0 99.0
88 01 03 13 090 04.6 05.7 99.00 99.00 99.00 999 1034.5 -01.6  03.2 999.0 99.0
88 01 03 14 080 03.6 04.1 99.00 99.00 99.00 999 1034.6 -01.6  03.1 999.0 99.0
88 01 03 15 090 03.1 03.6 99.00 99.00 99.00 999 1034.7 -01.5  03.3 999.0 99.0
88 01 03 16 080 03.6 04.6 99.00 99.00 99.00 999 1033.8 -01.5  03.4 999.0 99.0
88 01 03 17 100 03.1 04.1 99.00 99.00 99.00 999 1032.8 -01.5  03.5 999.0 99.0
88 01 03 18 100 02.6 03.1 99.00 99.00 99.00 999 1031.3 -01.3  03.6 999.0 99.0
88 01 03 19 070 02.6 03.1 99.00 99.00 99.00 999 1030.7 -01.2  03.5 999.0 99.0
88 01 03 20 020 03.6 04.1 99.00 99.00 99.00 999 1029.5 -01.0  03.5 999.0 99.0
88 01 03 21 070 03.1 03.6 99.00 99.00 99.00 999 1029.3 -00.9  03.5 999.0 99.0
88 01 03 22 100 01.5 02.1 99.00 99.00 99.00 999 1028.9 -00.9  03.5 999.0 99.0
88 01 04 00 040 03.6 04.1 99.00 99.00 99.00 999 1027.6 -03.3  03.1 999.0 99.0
88 01 04 01 010 05.1 06.2 99.00 99.00 99.00 999 1025.6 -02.6  03.0 999.0 99.0
88 01 04 02 350 07.2 07.7 99.00 99.00 99.00 999 1024.1 -02.4  03.1 999.0 99.0
88 01 04 03 360 07.2 08.3 99.00 99.00 99.00 999 1022.3 -01.8  03.1 999.0 99.0
88 01 04 04 360 05.7 06.2 99.00 99.00 99.00 999 1021.3 -02.0  03.1 999.0 99.0
88 01 04 05 350 07.2 07.7 99.00 99.00 99.00 999 1019.7 -01.7  03.1 999.0 99.0
88 01 04 06 320 06.7 07.7 99.00 99.00 99.00 999 1019.7 -01.9  03.0 999.0 99.0
88 01 04 07 320 05.1 05.7 99.00 99.00 99.00 999 1019.9 -02.1  03.0 999.0 99.0
88 01 04 08 320 05.7 06.2 99.00 99.00 99.00 999 1019.5 -02.0  02.9 999.0 99.0
88 01 04 09 050 04.1 04.6 99.00 99.00 99.00 999 1017.5 -01.5  03.2 999.0 99.0
88 01 04 10 330 03.1 03.6 99.00 99.00 99.00 999 1017.5 -01.4  03.2 999.0 99.0
88 01 04 11 310 03.6 04.1 99.00 99.00 99.00 999 1017.5 -01.7  03.2 999.0 99.0
88 01 04 12 310 03.1 04.1 99.00 99.00 99.00 999 1017.7 -01.8  03.0 999.0 99.0
88 01 04 13 300 02.6 03.6 99.00 99.00 99.00 999 1017.8 -01.4  03.0 999.0 99.0
88 01 04 14 290 03.6 04.1 99.00 99.00 99.00 999 1018.0 -01.4  02.9 999.0 99.0
88 01 04 15 260 03.6 04.1 99.00 99.00 99.00 999 1018.2 -01.1  02.9 999.0 99.0
88 01 04 16 260 02.6 02.6 99.00 99.00 99.00 999 1017.8 -00.2  03.1 999.0 99.0
88 01 04 17 230 04.6 04.6 99.00 99.00 99.00 999 1016.9  01.1  03.3 999.0 99.0
88 01 04 18 230 04.1 04.1 99.00 99.00 99.00 999 1015.7  01.4  03.5 999.0 99.0
88 01 04 19 250 03.6 05.7 99.00 99.00 99.00 999 1014.9  02.4  03.7 999.0 99.0
88 01 04 20 220 03.6 03.6 99.00 99.00 99.00 999 1014.5  02.7  03.7 999.0 99.0
88 01 04 21 210 04.1 04.6 99.00 99.00 99.00 999 1014.8  03.1  03.7 999.0 99.0
88 01 04 22 220 02.6 02.6 99.00 99.00 99.00 999 1014.8  03.1  03.7 999.0 99.0
88 01 04 23 260 04.1 04.6 99.00 99.00 99.00 999 1015.7  03.3  03.9 999.0 99.0
88 01 05 00 280 09.3 10.3 99.00 99.00 99.00 999 1016.5  03.6  03.9 999.0 99.0
88 01 05 01 290 09.3 11.3 99.00 99.00 99.00 999 1017.2  02.7  03.9 999.0 99.0
88 01 05 02 300 09.8 11.9 99.00 99.00 99.00 999 1018.7  01.0  03.4 999.0 99.0
88 01 05 03 320 13.4 15.5 99.00 99.00 99.00 999 1020.1 -00.2  03.3 999.0 99.0
88 01 05 04 290 10.8 12.4 99.00 99.00 99.00 999 1021.0 -01.6  03.4 999.0 99.0
88 01 05 05 300 13.9 18.6 99.00 99.00 99.00 999 1022.1 -02.2  03.3 999.0 99.0
88 01 05 06 290 11.9 14.4 99.00 99.00 99.00 999 1023.0 -02.7  03.3 999.0 99.0
88 01 05 07 290 12.4 16.0 99.00 99.00 99.00 999 1023.4 -03.6  03.1 999.0 99.0
88 01 05 08 290 07.7 09.3 99.00 99.00 99.00 999 1024.6 -04.1  02.9 999.0 99.0
88 01 05 09 290 09.8 11.3 99.00 99.00 99.00 999 1024.5 -04.9  01.9 999.0 99.0
88 01 05 10 280 10.8 12.9 99.00 99.00 99.00 999 1025.1 -05.6  02.5 999.0 99.0
88 01 05 11 290 11.9 15.5 99.00 99.00 99.00 999 1026.0 -06.2  02.7 999.0 99.0
88 01 05 12 270 09.3 10.8 99.00 99.00 99.00 999 1027.6 -06.7  02.4 999.0 99.0
88 01 05 13 280 08.3 10.3 99.00 99.00 99.00 999 1028.4 -07.3  02.0 999.0 99.0
88 01 05 14 300 09.3 10.8 99.00 99.00 99.00 999 1029.1 -07.7 999.0 999.0 99.0
88 01 05 15 290 10.8 11.9 99.00 99.00 99.00 999 1029.4 -07.9  02.0 999.0 99.0
88 01 05 16 270 11.9 14.4 99.00 99.00 99.00 999 1029.7 -07.7  02.3 999.0 99.0
88 01 05 17 280 12.9 14.4 99.00 99.00 99.00 999 1029.3 -07.4  02.5 999.0 99.0
88 01 05 18 270 10.3 12.4 99.00 99.00 99.00 999 1028.8 -07.7  02.4 999.0 99.0
88 01 05 19 280 10.8 12.9 99.00 99.00 99.00 999 1028.4 -07.5  01.4 999.0 99.0
88 01 05 20 290 08.8 10.3 99.00 99.00 99.00 999 1028.2 -06.9  01.7 999.0 99.0
88 01 05 21 290 09.3 11.9 99.00 99.00 99.00 999 1028.8 -06.7  02.1 999.0 99.0
88 01 05 22 290 08.3 09.3 99.00 99.00 99.00 999 1028.9 -06.8  02.3 999.0 99.0
88 01 05 23 290 08.3 11.3 99.00 99.00 99.00 999 1029.2 -06.9  02.3 999.0 99.0
