#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 01 01 00 148  4.6  4.9 99.00 99.00 99.00 999 1015.7   7.7   6.2   7.7 99.0 99.00
2019 01 01 02 00 159  4.7  5.1 99.00 99.00 99.00 999 1013.9   7.8   6.3   7.8 99.0 99.00
2019 01 01 03 00 208  2.7  2.9 99.00 99.00 99.00 999 1013.5   7.5   6.3   7.5 99.0 99.00
2019 01 01 04 00 172  3.2  3.3 99.00 99.00 99.00 999 1012.2   7.7   6.3   7.7 99.0 99.00
2019 01 01 05 00 161  5.1  5.2 99.00 99.00 99.00 999 1010.9   9.4   6.3   9.4 99.0 99.00
2019 01 01 06 00 151  5.3  5.6 99.00 99.00 99.00 999 1009.3  11.4   6.3  11.4 99.0 99.00
2019 01 01 07 00 152  7.5  8.0 99.00 99.00 99.00 999 1008.1  12.6   6.3  12.6 99.0 99.00
2019 01 01 08 00 197 13.5 15.6 99.00 99.00 99.00 999 1007.0  17.4   6.4  16.0 99.0 99.00
2019 01 01 09 00 212 13.0 14.6 99.00 99.00 99.00 999 1006.8  17.4   6.5  15.2 99.0 99.00
2019 01 01 10 00 221 13.0 14.3 99.00 99.00 99.00 999 1006.7  16.9   6.5  14.8 99.0 99.00
2019 01 01 11 00 230  9.7 11.6 99.00 99.00 99.00 999 1007.4  17.1   6.6  15.3 99.0 99.00
2019 01 01 12 00 235  7.7  9.0 99.00 99.00 99.00 999 1009.3  17.5   6.5  15.0 99.0 99.00
2019 01 01 13 00 228  5.2  5.6 99.00 99.00 99.00 999 1010.6  16.8   6.6  14.4 99.0 99.00
2019 01 01 14 00 248  6.0  6.3 99.00 99.00 99.00 999 1012.2  17.1   6.6  13.5 99.0 99.00
2019 01 01 15 00 267  8.5  9.5 99.00 99.00 99.00 999 1013.2  16.7   6.6   7.6 99.0 99.00
2019 01 01 16 00 275  6.6  7.5 99.00 99.00 99.00 999 1013.9  16.0   6.7   6.1 99.0 99.00
2019 01 01 17 00 295  8.0 10.1 99.00 99.00 99.00 999 1014.8  14.2   6.7   5.7 99.0 99.00
2019 01 01 18 00 294 10.0 11.9 99.00 99.00 99.00 999 1015.7  14.1   6.8   4.4 99.0 99.00
2019 01 01 19 00 298 13.2 16.0 99.00 99.00 99.00 999 1016.4  13.5   6.8   4.3 99.0 99.00
2019 01 01 20 00 283  9.2 10.0 99.00 99.00 99.00 999 1017.7  12.4   6.9   3.8 99.0 99.00
2019 01 01 21 00 287  5.3  6.2 99.00 99.00 99.00 999 1019.3  11.9   6.9   2.9 99.0 99.00
