YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
90 01 01 00 032 01.7 01.7 99.00 99.00 99.00 999 1005.0  04.1  00.1 999.0 99.0
90 01 01 01 094 02.3 02.5 99.00 99.00 99.00 999 1004.0  05.0  00.1 999.0 99.0
90 01 01 02 189 03.3 04.0 99.00 99.00 99.00 999 1002.6  05.0  00.2 999.0 99.0
90 01 01 03 163 10.6 10.8 99.00 99.00 99.00 999 1001.3  10.2  00.2 999.0 99.0
90 01 01 04 256 03.6 04.4 99.00 99.00 99.00 999 1001.1  08.0  00.3 999.0 99.0
90 01 01 05 093 01.6 01.7 99.00 99.00 99.00 999 0999.8  08.3  00.2 999.0 99.0
90 01 01 06 296 05.7 06.5 99.00 99.00 99.00 999 1001.9  07.5  00.1 999.0 99.0
90 01 01 07 301 08.5 09.9 99.00 99.00 99.00 999 1002.7  06.6  00.2 999.0 99.0
90 01 01 08 297 05.1 06.0 99.00 99.00 99.00 999 1004.4  05.6  00.3 999.0 99.0
90 01 01 09 306 06.0 07.0 99.00 99.00 99.00 999 1004.3  05.6  00.4 999.0 99.0
90 01 01 10 293 04.1 04.4 99.00 99.00 99.00 999 1005.4  05.2  00.5 999.0 99.0
90 01 01 11 301 09.4 11.9 99.00 99.00 99.00 999 1007.1  05.3  00.4 999.0 99.0
90 01 01 12 299 07.7 10.1 99.00 99.00 99.00 999 1008.4  04.5  00.3 999.0 99.0
90 01 01 13 297 08.3 09.7 99.00 99.00 99.00 999 1009.3  03.8  00.3 999.0 99.0
90 01 01 14 295 05.7 06.7 99.00 99.00 99.00 999 1010.2  03.3  00.3 999.0 99.0
90 01 01 15 287 12.1 14.5 99.00 99.00 99.00 999 1010.8  03.8  00.2 999.0 99.0
90 01 01 16 288 10.9 12.8 99.00 99.00 99.00 999 1011.8  04.1  00.3 999.0 99.0
90 01 01 17 284 14.9 17.5 99.00 99.00 99.00 999 1011.7  04.3  00.6 999.0 99.0
90 01 01 18 285 13.1 17.8 99.00 99.00 99.00 999 1012.9  04.4  00.6 999.0 99.0
90 01 01 19 283 17.0 19.6 99.00 99.00 99.00 999 1014.0  04.5  00.8 999.0 99.0
90 01 01 20 303 11.4 13.0 99.00 99.00 99.00 999 1015.4  04.5  00.9 999.0 99.0
90 01 01 21 300 11.0 12.3 99.00 99.00 99.00 999 1017.3  04.3  00.8 999.0 99.0
90 01 01 22 291 11.7 13.3 99.00 99.00 99.00 999 1018.5  03.9  00.8 999.0 99.0
90 01 01 23 292 11.7 14.2 99.00 99.00 99.00 999 1020.0  03.4  00.6 999.0 99.0
90 01 02 00 295 09.2 10.9 99.00 99.00 99.00 999 1021.4  03.2  00.7 999.0 99.0
90 01 02 01 293 08.8 09.9 99.00 99.00 99.00 999 1022.7  02.8  00.5 999.0 99.0
90 01 02 02 289 06.5 07.2 99.00 99.00 99.00 999 1024.1  02.5  00.6 999.0 99.0
90 01 02 03 299 05.1 05.7 99.00 99.00 99.00 999 1024.9  02.2  00.5 999.0 99.0
90 01 02 04 302 05.4 05.9 99.00 99.00 99.00 999 1025.3  01.9  00.4 999.0 99.0
90 01 02 05 295 07.1 08.6 99.00 99.00 99.00 999 1026.1  01.9  00.6 999.0 99.0
90 01 02 06 272 03.0 03.1 99.00 99.00 99.00 999 1026.8  01.2  00.6 999.0 99.0
90 01 02 07 278 02.9 03.0 99.00 99.00 99.00 999 1027.0  01.0  00.6 999.0 99.0
90 01 02 08 274 03.1 03.1 99.00 99.00 99.00 999 1028.7  00.8  00.4 999.0 99.0
90 01 02 09 233 02.7 02.9 99.00 99.00 99.00 999 1028.8  00.1  00.2 999.0 99.0
90 01 02 10 221 03.0 03.3 99.00 99.00 99.00 999 1029.1 -00.2  00.2 999.0 99.0
90 01 02 11 208 03.3 03.9 99.00 99.00 99.00 999 1029.7 -00.3  00.4 999.0 99.0
90 01 02 12 222 03.7 03.8 99.00 99.00 99.00 999 1030.4 -00.2  00.2 999.0 99.0
90 01 02 13 219 04.0 04.4 99.00 99.00 99.00 999 1031.0 -00.3  00.2 999.0 99.0
90 01 02 14 207 03.9 04.3 99.00 99.00 99.00 999 1031.1  00.0  00.3 999.0 99.0
90 01 02 15 204 03.5 03.8 99.00 99.00 99.00 999 1031.6  00.2  00.2 999.0 99.0
90 01 02 16 171 04.3 04.6 99.00 99.00 99.00 999 1031.1  00.5  00.3 999.0 99.0
90 01 02 17 166 04.4 04.5 99.00 99.00 99.00 999 1030.5  00.9  00.4 999.0 99.0
90 01 02 18 159 05.1 05.5 99.00 99.00 99.00 999 1029.5  01.4  00.6 999.0 99.0
90 01 02 19 151 05.6 05.8 99.00 99.00 99.00 999 1028.5  02.6  00.7 999.0 99.0
90 01 02 20 155 04.6 04.9 99.00 99.00 99.00 999 1028.2  02.7  00.6 999.0 99.0
90 01 02 21 171 05.5 05.8 99.00 99.00 99.00 999 1028.2  02.2  00.6 999.0 99.0
90 01 02 22 176 05.7 05.9 99.00 99.00 99.00 999 1028.1  01.4  00.6 999.0 99.0
90 01 02 23 192 05.7 05.9 99.00 99.00 99.00 999 1028.7  01.4  00.7 999.0 99.0
90 01 03 00 184 04.1 04.2 99.00 99.00 99.00 999 1029.0  01.0  00.6 999.0 99.0
90 01 03 01 192 03.3 03.4 99.00 99.00 99.00 999 1028.9  00.5  00.5 999.0 99.0
90 01 03 02 187 03.5 03.8 99.00 99.00 99.00 999 1028.6  00.7  00.4 999.0 99.0
90 01 03 03 193 04.7 05.2 99.00 99.00 99.00 999 1028.4  01.0  00.5 999.0 99.0
90 01 03 04 193 04.1 04.3 99.00 99.00 99.00 999 1028.3  00.9  00.4 999.0 99.0
90 01 03 05 181 03.1 03.3 99.00 99.00 99.00 999 1028.0  00.7  00.4 999.0 99.0
90 01 03 06 197 02.8 02.8 99.00 99.00 99.00 999 1027.7  01.2  00.6 999.0 99.0
90 01 03 07 225 01.3 01.4 99.00 99.00 99.00 999 1027.6  01.4  00.6 999.0 99.0
90 01 03 08 165 01.9 02.0 99.00 99.00 99.00 999 1027.3  01.4  00.5 999.0 99.0
90 01 03 09 165 04.5 04.7 99.00 99.00 99.00 999 1026.9  00.9  00.5 999.0 99.0
90 01 03 10 212 01.4 01.7 99.00 99.00 99.00 999 1027.4  01.0  00.5 999.0 99.0
90 01 03 11 191 02.6 02.7 99.00 99.00 99.00 999 1027.6  00.8  00.6 999.0 99.0
90 01 03 12 274 02.3 02.4 99.00 99.00 99.00 999 1028.3 -00.2  00.5 999.0 99.0
90 01 03 13 211 03.5 03.7 99.00 99.00 99.00 999 1028.5  00.6  00.5 999.0 99.0
90 01 03 14 171 03.7 03.8 99.00 99.00 99.00 999 1028.1  00.5  00.4 999.0 99.0
90 01 03 15 170 01.3 01.4 99.00 99.00 99.00 999 1028.7  00.4  00.4 999.0 99.0
90 01 03 16 232 02.1 02.5 99.00 99.00 99.00 999 1028.5  00.5  00.5 999.0 99.0
90 01 03 17 187 02.8 03.0 99.00 99.00 99.00 999 1027.8  00.8  00.6 999.0 99.0
90 01 03 18 151 02.6 02.9 99.00 99.00 99.00 999 1026.8  00.8  00.8 999.0 99.0
90 01 03 19 112 02.0 02.1 99.00 99.00 99.00 999 1026.2  02.6  00.7 999.0 99.0
90 01 03 20 000 00.1 00.3 99.00 99.00 99.00 999 1025.7  03.4  00.8 999.0 99.0
90 01 03 21 194 00.8 00.9 99.00 99.00 99.00 999 1026.1  04.8  00.7 999.0 99.0
90 01 03 22 182 03.5 03.6 99.00 99.00 99.00 999 1026.1  03.2  00.8 999.0 99.0
90 01 03 23 186 02.9 02.9 99.00 99.00 99.00 999 1025.9  02.7  00.8 999.0 99.0
90 01 04 00 190 04.3 04.4 99.00 99.00 99.00 999 1026.2  01.8  00.7 999.0 99.0
90 01 04 01 191 02.2 02.4 99.00 99.00 99.00 999 1026.3  01.5  00.7 999.0 99.0
90 01 04 02 206 01.9 02.0 99.00 99.00 99.00 999 1026.6  01.4  00.7 999.0 99.0
90 01 04 03 134 02.2 02.3 99.00 99.00 99.00 999 1025.9  00.9  00.5 999.0 99.0
90 01 04 04 163 04.0 04.1 99.00 99.00 99.00 999 1025.5  01.0  00.5 999.0 99.0
90 01 04 05 195 03.3 03.4 99.00 99.00 99.00 999 1025.6  00.4  00.4 999.0 99.0
90 01 04 06 190 01.6 01.7 99.00 99.00 99.00 999 1024.9  00.1  00.5 999.0 99.0
90 01 04 07 202 03.4 03.5 99.00 99.00 99.00 999 1024.7  00.4  00.7 999.0 99.0
90 01 04 08 121 00.6 00.7 99.00 99.00 99.00 999 1023.9  00.3  00.6 999.0 99.0
90 01 04 09 171 03.0 03.3 99.00 99.00 99.00 999 1022.9  00.4  00.5 999.0 99.0
90 01 04 10 177 03.3 03.5 99.00 99.00 99.00 999 1022.7  00.6  00.3 999.0 99.0
90 01 04 11 165 02.9 03.0 99.00 99.00 99.00 999 1022.2  00.4  00.4 999.0 99.0
90 01 04 12 160 05.2 05.6 99.00 99.00 99.00 999 1021.5  01.4  00.4 999.0 99.0
90 01 04 13 163 05.6 06.1 99.00 99.00 99.00 999 1020.5  02.2  00.6 999.0 99.0
90 01 04 14 173 07.4 07.8 99.00 99.00 99.00 999 1020.0  02.2  00.6 999.0 99.0
90 01 04 15 170 07.3 07.8 99.00 99.00 99.00 999 1019.9  02.6  00.4 999.0 99.0
90 01 04 16 168 08.4 08.9 99.00 99.00 99.00 999 1018.4  02.7  00.6 999.0 99.0
90 01 04 17 173 07.9 08.5 99.00 99.00 99.00 999 1016.6  02.9  00.6 999.0 99.0
90 01 04 18 186 10.1 10.8 99.00 99.00 99.00 999 1014.9  05.2  00.7 999.0 99.0
90 01 04 19 185 10.0 10.6 99.00 99.00 99.00 999 1014.3  07.7  00.7 999.0 99.0
90 01 04 20 182 10.1 10.4 99.00 99.00 99.00 999 1013.2  09.3  00.8 999.0 99.0
90 01 04 21 180 09.5 10.1 99.00 99.00 99.00 999 1012.8  10.3  00.9 999.0 99.0
90 01 04 22 171 10.3 10.7 99.00 99.00 99.00 999 1012.1  09.9  00.9 999.0 99.0
90 01 04 23 174 08.8 09.5 99.00 99.00 99.00 999 1012.0  08.8  00.9 999.0 99.0
90 01 05 00 171 07.9 08.3 99.00 99.00 99.00 999 1012.5  09.9  00.9 999.0 99.0
90 01 05 01 176 08.0 08.8 99.00 99.00 99.00 999 1012.3  10.2  00.8 999.0 99.0
90 01 05 02 179 07.6 08.6 99.00 99.00 99.00 999 1012.7  10.8  00.8 999.0 99.0
90 01 05 03 194 06.2 06.6 99.00 99.00 99.00 999 1012.6  11.1  00.9 999.0 99.0
90 01 05 04 218 04.7 05.1 99.00 99.00 99.00 999 1013.1  11.0  00.8 999.0 99.0
90 01 05 05 285 03.3 03.5 99.00 99.00 99.00 999 1013.9  12.4  00.8 999.0 99.0
90 01 05 06 273 05.1 05.6 99.00 99.00 99.00 999 1014.4  12.1  00.8 999.0 99.0
90 01 05 07 268 04.1 04.2 99.00 99.00 99.00 999 1015.2  11.6  00.9 999.0 99.0
90 01 05 08 289 04.7 04.9 99.00 99.00 99.00 999 1015.8  11.5  01.0 999.0 99.0
90 01 05 09 308 05.1 05.6 99.00 99.00 99.00 999 1016.6  11.4  00.9 999.0 99.0
90 01 05 10 306 05.5 06.1 99.00 99.00 99.00 999 1017.4  10.5  00.9 999.0 99.0
90 01 05 11 332 06.7 07.4 99.00 99.00 99.00 999 1018.7  09.4  00.9 999.0 99.0
90 01 05 12 336 04.9 05.1 99.00 99.00 99.00 999 1020.0  09.0  00.9 999.0 99.0
90 01 05 13 343 06.5 07.2 99.00 99.00 99.00 999 1020.7  07.4  00.8 999.0 99.0
90 01 05 14 048 03.8 04.0 99.00 99.00 99.00 999 1021.9  04.2  00.9 999.0 99.0
90 01 05 15 023 05.5 05.8 99.00 99.00 99.00 999 1022.9  04.5  00.9 999.0 99.0
90 01 05 16 039 04.3 04.6 99.00 99.00 99.00 999 1023.1  04.8  00.9 999.0 99.0
90 01 05 17 051 04.4 04.7 99.00 99.00 99.00 999 1022.4  04.4  01.0 999.0 99.0
90 01 05 18 064 04.1 04.2 99.00 99.00 99.00 999 1021.9  05.2  01.2 999.0 99.0
90 01 05 19 069 02.6 02.8 99.00 99.00 99.00 999 1021.7  06.6  01.3 999.0 99.0
90 01 05 20 125 02.9 03.1 99.00 99.00 99.00 999 1021.2  06.3  01.3 999.0 99.0
90 01 05 21 161 02.2 02.2 99.00 99.00 99.00 999 1021.5  06.2  01.1 999.0 99.0
90 01 05 22 212 04.0 04.1 99.00 99.00 99.00 999 1021.9  04.6  01.1 999.0 99.0
90 01 05 23 233 02.3 02.4 99.00 99.00 99.00 999 1022.1  05.0  01.1 999.0 99.0
90 01 06 00 243 00.9 00.9 99.00 99.00 99.00 999 1022.5  05.3  01.1 999.0 99.0
90 01 06 01 017 03.4 03.5 99.00 99.00 99.00 999 1022.3  04.3  01.1 999.0 99.0
90 01 06 02 049 03.0 03.0 99.00 99.00 99.00 999 1021.7  04.9  01.1 999.0 99.0
90 01 06 03 066 03.0 03.0 99.00 99.00 99.00 999 1021.5  04.6  01.0 999.0 99.0
90 01 06 04 082 02.0 02.1 99.00 99.00 99.00 999 1021.5  03.8  01.1 999.0 99.0
90 01 06 05 000 00.0 00.1 99.00 99.00 99.00 999 1020.3  03.0  01.1 999.0 99.0
90 01 06 06 210 02.7 02.8 99.00 99.00 99.00 999 1019.7  02.3  01.2 999.0 99.0
90 01 06 07 291 01.0 01.2 99.00 99.00 99.00 999 1019.2  02.5  01.3 999.0 99.0
90 01 06 08 127 01.7 01.7 99.00 99.00 99.00 999 1018.6  03.4  01.3 999.0 99.0
90 01 06 09 144 01.7 01.8 99.00 99.00 99.00 999 1017.9  03.9  01.3 999.0 99.0
90 01 06 10 149 02.6 02.6 99.00 99.00 99.00 999 1016.8  03.6  00.9 999.0 99.0
90 01 06 11 157 02.6 02.6 99.00 99.00 99.00 999 1016.9  03.1  00.8 999.0 99.0
90 01 06 12 155 05.0 05.1 99.00 99.00 99.00 999 1016.3  02.5  00.8 999.0 99.0
90 01 06 13 279 01.0 01.3 99.00 99.00 99.00 999 1016.1  01.9  01.0 999.0 99.0
90 01 06 14 274 02.1 02.2 99.00 99.00 99.00 999 1016.5  02.2  00.9 999.0 99.0
90 01 06 15 000 00.0 00.0 99.00 99.00 99.00 999 1016.7  03.0  01.1 999.0 99.0
90 01 06 16 288 02.1 02.2 99.00 99.00 99.00 999 1016.9  02.9  00.9 999.0 99.0
90 01 06 17 308 04.4 04.9 99.00 99.00 99.00 999 1016.0  05.6  00.8 999.0 99.0
90 01 06 18 300 06.4 07.3 99.00 99.00 99.00 999 1015.6  06.6  01.1 999.0 99.0
90 01 06 19 299 09.4 10.8 99.00 99.00 99.00 999 1016.1  07.0  01.1 999.0 99.0
90 01 06 20 302 03.6 04.4 99.00 99.00 99.00 999 1017.0  07.2  01.2 999.0 99.0
90 01 06 21 286 03.7 04.0 99.00 99.00 99.00 999 1017.4  07.5  01.2 999.0 99.0
90 01 06 22 287 06.5 07.0 99.00 99.00 99.00 999 1018.2  07.5  01.1 999.0 99.0
90 01 06 23 256 03.9 04.3 99.00 99.00 99.00 999 1019.4  06.5  01.0 999.0 99.0
90 01 07 00 264 04.2 04.3 99.00 99.00 99.00 999 1019.9  06.7  00.9 999.0 99.0
90 01 07 01 329 02.8 03.3 99.00 99.00 99.00 999 1020.9  06.1  00.9 999.0 99.0
90 01 07 02 297 03.7 04.0 99.00 99.00 99.00 999 1021.6  05.2  00.8 999.0 99.0
90 01 07 03 271 03.8 04.0 99.00 99.00 99.00 999 1022.4  04.7  00.7 999.0 99.0
90 01 07 04 357 02.8 03.3 99.00 99.00 99.00 999 1023.0  03.7  00.8 999.0 99.0
90 01 07 05 002 03.2 03.8 99.00 99.00 99.00 999 1023.0  02.6  00.9 999.0 99.0
90 01 07 06 348 02.4 02.5 99.00 99.00 99.00 999 1023.5  01.9  01.0 999.0 99.0
90 01 07 07 302 00.5 00.8 99.00 99.00 99.00 999 1023.6  01.2  01.0 999.0 99.0
90 01 07 08 000 00.0 00.0 99.00 99.00 99.00 999 1023.1  00.9  00.9 999.0 99.0
90 01 07 09 093 00.4 00.5 99.00 99.00 99.00 999 1022.6  00.7  00.9 999.0 99.0
90 01 07 10 208 01.9 02.0 99.00 99.00 99.00 999 1022.6 -00.3  01.0 999.0 99.0
90 01 07 11 268 00.3 00.7 99.00 99.00 99.00 999 1022.5 -00.6  00.4 999.0 99.0
90 01 07 12 222 01.7 02.1 99.00 99.00 99.00 999 1023.1 -00.6  00.3 999.0 99.0
90 01 07 13 210 02.3 02.3 99.00 99.00 99.00 999 1022.7 -00.5  00.5 999.0 99.0
90 01 07 14 220 02.3 02.4 99.00 99.00 99.00 999 1023.2 -00.1  00.7 999.0 99.0
90 01 07 15 197 04.2 04.4 99.00 99.00 99.00 999 1023.2  01.1  00.8 999.0 99.0
90 01 07 16 189 03.5 03.8 99.00 99.00 99.00 999 1022.9  01.2  00.6 999.0 99.0
90 01 07 17 195 03.1 03.3 99.00 99.00 99.00 999 1021.7  01.4  00.7 999.0 99.0
90 01 07 18 162 03.8 03.9 99.00 99.00 99.00 999 1020.1  01.2  00.7 999.0 99.0
90 01 07 19 171 04.5 04.9 99.00 99.00 99.00 999 1019.4  01.9  00.9 999.0 99.0
90 01 07 20 176 02.4 02.5 99.00 99.00 99.00 999 1018.8  02.9  00.9 999.0 99.0
90 01 07 21 200 03.3 03.7 99.00 99.00 99.00 999 1017.9  02.8  00.9 999.0 99.0
90 01 07 22 176 06.8 07.3 99.00 99.00 99.00 999 1018.3  02.8  00.9 999.0 99.0
90 01 07 23 188 03.3 03.5 99.00 99.00 99.00 999 1018.0  01.8  00.9 999.0 99.0
90 01 08 00 224 02.0 02.1 99.00 99.00 99.00 999 1018.2  01.9  00.9 999.0 99.0
90 01 08 01 176 02.2 02.3 99.00 99.00 99.00 999 1017.5  01.9  00.8 999.0 99.0
90 01 08 02 187 02.4 02.6 99.00 99.00 99.00 999 1018.1  01.4  00.9 999.0 99.0
90 01 08 03 194 03.4 03.5 99.00 99.00 99.00 999 1018.0  01.6  00.8 999.0 99.0
90 01 08 04 176 03.8 04.1 99.00 99.00 99.00 999 1017.5  01.4  00.8 999.0 99.0
90 01 08 05 190 03.1 03.3 99.00 99.00 99.00 999 1016.6  01.5  00.8 999.0 99.0
90 01 08 06 190 04.5 04.7 99.00 99.00 99.00 999 1016.6  01.5  00.8 999.0 99.0
90 01 08 07 201 03.4 03.6 99.00 99.00 99.00 999 1017.0  02.1  00.8 999.0 99.0
90 01 08 08 165 01.5 01.7 99.00 99.00 99.00 999 1016.0  01.9  00.7 999.0 99.0
90 01 08 09 054 01.5 01.7 99.00 99.00 99.00 999 1015.2  01.4  00.8 999.0 99.0
90 01 08 10 097 02.0 02.2 99.00 99.00 99.00 999 1014.6  01.8  00.9 999.0 99.0
90 01 08 11 137 01.4 01.7 99.00 99.00 99.00 999 1014.5  01.3  00.8 999.0 99.0
90 01 08 12 331 01.1 01.1 99.00 99.00 99.00 999 1014.8  00.9  00.9 999.0 99.0
90 01 08 13 027 01.4 01.5 99.00 99.00 99.00 999 1014.4  01.3  00.7 999.0 99.0
90 01 08 14 009 04.1 04.1 99.00 99.00 99.00 999 1014.1  01.2  00.7 999.0 99.0
90 01 08 15 005 01.9 02.0 99.00 99.00 99.00 999 1014.6  01.3  00.8 999.0 99.0
90 01 08 16 039 03.8 04.0 99.00 99.00 99.00 999 1012.2  01.1  00.8 999.0 99.0
90 01 08 17 006 04.7 05.1 99.00 99.00 99.00 999 1011.1  01.1  00.8 999.0 99.0
90 01 08 18 012 06.7 07.2 99.00 99.00 99.00 999 1009.6  00.8  00.8 999.0 99.0
90 01 08 19 016 09.6 11.0 99.00 99.00 99.00 999 1007.4  00.7  00.8 999.0 99.0
90 01 08 20 356 07.7 08.5 99.00 99.00 99.00 999 1007.2  00.6  00.8 999.0 99.0
90 01 08 21 341 07.0 07.5 99.00 99.00 99.00 999 1007.5  00.7  00.8 999.0 99.0
90 01 08 22 340 06.3 07.0 99.00 99.00 99.00 999 1007.1  00.7  00.7 999.0 99.0
90 01 08 23 323 04.3 04.7 99.00 99.00 99.00 999 1008.8  00.9  00.7 999.0 99.0
90 01 09 00 306 05.0 05.9 99.00 99.00 99.00 999 1009.9  00.8  00.5 999.0 99.0
90 01 09 01 312 04.4 05.4 99.00 99.00 99.00 999 1010.2  01.2  00.5 999.0 99.0
90 01 09 02 297 03.6 04.1 99.00 99.00 99.00 999 1011.1  01.4  00.5 999.0 99.0
90 01 09 03 290 03.6 04.2 99.00 99.00 99.00 999 1011.9  01.4  00.5 999.0 99.0
90 01 09 04 292 01.3 01.4 99.00 99.00 99.00 999 1012.4  01.4  00.5 999.0 99.0
