#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 03 02 00 310 14.6 18.3 99.00 99.00 99.00 999 1013.5  -5.1   3.0 -12.1 99.0 99.00
2010 01 03 03 00 314 13.4 16.2 99.00 99.00 99.00 999 1013.5  -5.2   3.0 -10.9 99.0 99.00
2010 01 03 05 00 311 11.2 14.2 99.00 99.00 99.00 999 1013.2  -6.3   3.0 -13.0 99.0 99.00
2010 01 03 06 00 301 14.2 16.4 99.00 99.00 99.00 999 1012.4  -6.7   2.9 -12.6 99.0 99.00
2010 01 03 07 00 302 12.8 14.9 99.00 99.00 99.00 999 1012.9  -7.0   2.8 -13.4 99.0 99.00
2010 01 03 08 00 310 16.1 17.9 99.00 99.00 99.00 999 1011.9  -7.4   2.8 -14.1 99.0 99.00
2010 01 03 09 00 302 13.6 16.0 99.00 99.00 99.00 999 1011.5  -7.5   2.2 -13.6 99.0 99.00
2010 01 03 10 00 303 15.3 18.6 99.00 99.00 99.00 999 1010.9  -7.9   1.1 -14.5 99.0 99.00
2010 01 03 11 00 298 16.4 18.3 99.00 99.00 99.00 999 1010.1  -7.9   1.7 -14.1 99.0 99.00
2010 01 03 12 00 293 13.9 16.4 99.00 99.00 99.00 999 1010.6  -7.8   1.5 -13.5 99.0 99.00
2010 01 03 13 00 297 13.3 16.9 99.00 99.00 99.00 999 1010.9  -7.6   0.5 -13.8 99.0 99.00
2010 01 03 14 00 304 13.3 16.0 99.00 99.00 99.00 999 1010.4  -7.3   1.9 -13.7 99.0 99.00
2010 01 03 15 00 297 14.8 16.7 99.00 99.00 99.00 999 1009.4  -6.6   2.4 -13.9 99.0 99.00
2010 01 03 16 00 304 16.8 19.6 99.00 99.00 99.00 999 1008.8  -5.8   2.4 -13.4 99.0 99.00
2010 01 03 17 00 296 13.6 14.6 99.00 99.00 99.00 999 1007.8  -4.8   2.5 -13.0 99.0 99.00
2010 01 03 18 00 292 13.8 15.9 99.00 99.00 99.00 999 1007.3  -3.9   2.4 -11.6 99.0 99.00
2010 01 03 19 00 300 13.6 16.2 99.00 99.00 99.00 999 1007.6  -3.4   2.4 -12.3 99.0 99.00
2010 01 03 20 00 310 15.1 17.4 99.00 99.00 99.00 999 1007.5  -2.7   2.4 -11.0 99.0 99.00
2010 01 03 21 00 298 14.0 15.6 99.00 99.00 99.00 999 1008.4  -3.0   0.9 -11.4 99.0 99.00
2010 01 03 22 00 314 14.2 99.0 99.00 99.00 99.00 999 9999.0  -3.4 999.0 999.0 99.0 99.00
2010 01 03 23 00 306 12.9 15.8 99.00 99.00 99.00 999 1009.1  -3.5   2.1 -10.6 99.0 99.00
2010 01 04 00 00 307 11.8 16.0 99.00 99.00 99.00 999 1010.1  -3.7   1.4 -10.5 99.0 99.00
2010 01 04 01 00 312  9.5 10.9 99.00 99.00 99.00 999 1010.8  -3.9   1.9 -10.9 99.0 99.00
2010 01 04 02 00 316 11.9 13.3 99.00 99.00 99.00 999 1010.5  -4.1   2.2 -11.0 99.0 99.00
2010 01 04 03 00 309 10.7 12.3 99.00 99.00 99.00 999 1010.8  -4.2   2.0 -10.6 99.0 99.00
2010 01 04 04 00 304  8.9 10.5 99.00 99.00 99.00 999 1011.2  -4.2   2.0 -10.2 99.0 99.00
2010 01 04 05 00 306  9.5 10.7 99.00 99.00 99.00 999 1011.1  -4.5   2.3 -10.8 99.0 99.00
2010 01 04 06 00 307 10.2 11.7 99.00 99.00 99.00 999 1011.0  -4.7   2.1 -11.0 99.0 99.00
2010 01 04 07 00 311  8.2  9.4 99.00 99.00 99.00 999 1011.2  -4.7   2.2 -10.4 99.0 99.00
2010 01 04 08 00 312  8.2  9.4 99.00 99.00 99.00 999 1011.3  -4.7   2.1 -10.5 99.0 99.00
2010 01 04 09 00 307  7.2  7.9 99.00 99.00 99.00 999 1011.3  -4.6   1.6 -10.1 99.0 99.00
2010 01 04 10 00 311  8.1  9.9 99.00 99.00 99.00 999 1011.1  -4.4   1.5 -10.3 99.0 99.00
2010 01 04 11 00 312  8.6 10.0 99.00 99.00 99.00 999 1011.2  -4.1   1.4 -10.2 99.0 99.00
2010 01 04 12 00 313  7.5  8.3 99.00 99.00 99.00 999 1011.3  -3.8   1.3 -10.0 99.0 99.00
2010 01 04 13 00 307  6.7  7.2 99.00 99.00 99.00 999 1011.4  -3.6   1.0  -8.9 99.0 99.00
2010 01 04 14 00 308  7.7  9.8 99.00 99.00 99.00 999 1011.7  -3.4   1.1  -9.2 99.0 99.00
2010 01 04 15 00 313 10.6 12.1 99.00 99.00 99.00 999 1011.9  -3.0   1.1  -9.6 99.0 99.00
2010 01 04 16 00 313 10.3 12.0 99.00 99.00 99.00 999 1011.6  -2.5   1.1  -9.6 99.0 99.00
2010 01 04 17 00 304 10.5 11.8 99.00 99.00 99.00 999 1010.7  -1.7   1.1  -9.2 99.0 99.00
2010 01 04 18 00 308  9.1 10.2 99.00 99.00 99.00 999 1010.4  -1.3   1.2  -8.7 99.0 99.00
2010 01 04 19 00 306  9.3 10.9 99.00 99.00 99.00 999 1010.1  -0.7   1.4  -8.5 99.0 99.00
2010 01 04 20 00 306  9.1 10.0 99.00 99.00 99.00 999 1010.2  -0.2   1.4  -8.6 99.0 99.00
2010 01 05 00 00 307  7.7  8.6 99.00 99.00 99.00 999 1012.1  -1.0   1.6  -7.7 99.0 99.00
