YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
97 01 01 00  25 12.4 14.0 99.00 99.00 99.00 999 1025.0   4.5   5.3 999.0 99.0
97 01 01 01  44 12.3 14.0 99.00 99.00 99.00 999 1026.3   3.8   5.2 999.0 99.0
97 01 01 02  43 13.2 14.0 99.00 99.00 99.00 999 1027.5   2.1   5.1 999.0 99.0
97 01 01 03  37 10.9 12.4 99.00 99.00 99.00 999 1028.9   1.7   4.9 999.0 99.0
97 01 01 04  46 10.2 11.4 99.00 99.00 99.00 999 1030.0   1.0   4.7 999.0 99.0
97 01 01 05 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 01 06  33  8.8  9.9 99.00 99.00 99.00 999 1029.7    .0   4.3 999.0 99.0
97 01 01 07  51  7.7  8.4 99.00 99.00 99.00 999 1030.3   -.4   4.1 999.0 99.0
97 01 01 08  51  7.8  8.8 99.00 99.00 99.00 999 1030.4   -.9   3.9 999.0 99.0
97 01 01 09  62  6.3  7.2 99.00 99.00 99.00 999 1029.9  -1.4   3.7 999.0 99.0
97 01 01 10  57  6.6  7.5 99.00 99.00 99.00 999 1029.9  -1.7   3.6 999.0 99.0
97 01 01 11  52  5.0  6.2 99.00 99.00 99.00 999 1030.6  -2.0   3.5 999.0 99.0
97 01 01 12  90  4.7  5.1 99.00 99.00 99.00 999 1030.8  -2.2   3.5 999.0 99.0
97 01 01 13  98  6.5  7.9 99.00 99.00 99.00 999 1030.7  -2.6   3.6 999.0 99.0
97 01 01 14  94  7.5  8.3 99.00 99.00 99.00 999 1030.7  -3.4   3.6 999.0 99.0
97 01 01 15  93  6.6  7.6 99.00 99.00 99.00 999 1030.9  -3.4   3.6 999.0 99.0
97 01 01 16  96  5.6  6.8 99.00 99.00 99.00 999 1029.9  -3.3   3.7 999.0 99.0
97 01 01 17  98  6.1  6.5 99.00 99.00 99.00 999 1028.1  -3.0   3.8 999.0 99.0
97 01 01 18 125  4.5  5.8 99.00 99.00 99.00 999 1027.3  -2.5   3.8 999.0 99.0
97 01 01 19 113  3.9  4.7 99.00 99.00 99.00 999 1025.9  -2.1   3.9 999.0 99.0
97 01 01 20 141  3.7  4.5 99.00 99.00 99.00 999 1025.7  -1.4   4.0 999.0 99.0
97 01 01 21 146  3.7  5.0 99.00 99.00 99.00 999 1025.2   -.6   4.1 999.0 99.0
97 01 01 22 150  4.9  5.6 99.00 99.00 99.00 999 1023.8   -.1   4.2 999.0 99.0
97 01 01 23 132  4.4  5.0 99.00 99.00 99.00 999 1022.9    .3   4.3 999.0 99.0
97 01 02 00 151  2.9  3.4 99.00 99.00 99.00 999 1022.4    .5   4.3 999.0 99.0
97 01 02 01 129  3.0  3.4 99.00 99.00 99.00 999 1021.3    .9   4.5 999.0 99.0
97 01 02 02 152   .7  1.1 99.00 99.00 99.00 999 1020.5   1.3   4.7 999.0 99.0
97 01 02 03 218  3.2  3.8 99.00 99.00 99.00 999 1019.6   1.6   4.7 999.0 99.0
97 01 02 04 206  3.8  4.3 99.00 99.00 99.00 999 1019.2   1.8   4.7 999.0 99.0
97 01 02 05 193  6.5  7.4 99.00 99.00 99.00 999 1017.8   2.8   4.6 999.0 99.0
97 01 02 06 179  7.6  8.2 99.00 99.00 99.00 999 1016.2   3.3   4.7 999.0 99.0
97 01 02 07 196  6.8  7.6 99.00 99.00 99.00 999 1015.7   3.2   4.7 999.0 99.0
97 01 02 08 198  5.1  5.8 99.00 99.00 99.00 999 1015.2   3.4   4.7 999.0 99.0
97 01 02 09 226  3.9  4.4 99.00 99.00 99.00 999 1014.7   3.2   4.6 999.0 99.0
97 01 02 10 244  3.7  4.1 99.00 99.00 99.00 999 1013.8   3.4   4.8 999.0 99.0
97 01 02 11 224  4.5  5.5 99.00 99.00 99.00 999 1013.6   3.4   4.9 999.0 99.0
97 01 02 12 233  5.0  5.4 99.00 99.00 99.00 999 1013.9   3.5   4.8 999.0 99.0
97 01 02 13 244  4.0  4.4 99.00 99.00 99.00 999 1013.9   3.5   4.8 999.0 99.0
97 01 02 14 232  4.0  4.5 99.00 99.00 99.00 999 1014.1   3.6   4.8 999.0 99.0
97 01 02 15 199  3.0  3.1 99.00 99.00 99.00 999 1013.7   3.9   5.0 999.0 99.0
97 01 02 16 196  3.5  3.9 99.00 99.00 99.00 999 1013.2   4.4   5.2 999.0 99.0
97 01 02 17 181  3.9  4.5 99.00 99.00 99.00 999 1012.3   4.9   5.2 999.0 99.0
97 01 02 18 157  4.8  5.2 99.00 99.00 99.00 999 1011.4   5.1   5.3 999.0 99.0
97 01 02 19 151  5.6  5.9 99.00 99.00 99.00 999 1010.6   5.4   5.4 999.0 99.0
97 01 02 20 134  4.7  4.8 99.00 99.00 99.00 999 1010.5   6.6   5.4 999.0 99.0
97 01 02 21 208  1.8  2.1 99.00 99.00 99.00 999 1010.5   6.3   5.2 999.0 99.0
97 01 02 22 178  4.2  4.3 99.00 99.00 99.00 999 1010.5   6.7   5.3 999.0 99.0
97 01 02 23 166  5.5  6.1 99.00 99.00 99.00 999 1010.4   6.4   5.4 999.0 99.0
97 01 03 00 173  5.8  6.2 99.00 99.00 99.00 999 1009.9   7.1   5.1 999.0 99.0
97 01 03 01 177  3.8  4.2 99.00 99.00 99.00 999 1010.0   6.4   5.1 999.0 99.0
97 01 03 02 160  5.1  5.4 99.00 99.00 99.00 999 1009.7   6.5   5.2 999.0 99.0
97 01 03 03 190  4.1  4.3 99.00 99.00 99.00 999 1009.2   6.6   5.2 999.0 99.0
97 01 03 04 180  5.4  5.8 99.00 99.00 99.00 999 1008.2   7.0   5.3 999.0 99.0
97 01 03 05 172  4.6  4.7 99.00 99.00 99.00 999 1007.6   6.9   5.3 999.0 99.0
97 01 03 06 178  4.5  4.8 99.00 99.00 99.00 999 1006.8   7.3   5.3 999.0 99.0
97 01 03 07 186  4.5  4.7 99.00 99.00 99.00 999 1007.1   9.6   5.3 999.0 99.0
