#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 01 01 00 00 313  6.7  7.9 99.00 99.00 99.00 999 1025.7   2.9   4.4  -4.4 99.0 99.00
2014 01 01 01 00 334  5.4  6.1 99.00 99.00 99.00 999 1026.2   2.1   4.4  -4.6 99.0 99.00
2014 01 01 02 00 337  6.7  7.5 99.00 99.00 99.00 999 1026.6   1.4   4.5  -4.8 99.0 99.00
2014 01 01 03 00 336  5.1  5.7 99.00 99.00 99.00 999 1027.2   1.0   4.6  -5.2 99.0 99.00
2014 01 01 04 00 340  4.3  4.9 99.00 99.00 99.00 999 1027.7   1.0   4.5  -4.8 99.0 99.00
2014 01 01 05 00 354  2.3  2.9 99.00 99.00 99.00 999 1028.2   0.9   4.4  -4.7 99.0 99.00
2014 01 01 06 00 358  4.6  5.7 99.00 99.00 99.00 999 1028.1   1.1   4.3  -4.7 99.0 99.00
2014 01 01 07 00   4  3.3  3.9 99.00 99.00 99.00 999 1028.4   0.9   4.3  -4.6 99.0 99.00
2014 01 01 08 00 334  1.5  2.0 99.00 99.00 99.00 999 1029.2   1.0   4.4  -4.9 99.0 99.00
2014 01 01 09 00 301  0.8  1.1 99.00 99.00 99.00 999 1028.9   0.3   4.5  -2.7 99.0 99.00
2014 01 01 10 00 264  1.5  1.8 99.00 99.00 99.00 999 1029.3   0.3   4.2  -3.4 99.0 99.00
2014 01 01 11 00 192  2.9  3.4 99.00 99.00 99.00 999 1029.8   0.8   4.0  -2.1 99.0 99.00
2014 01 01 12 00 284  1.8  2.2 99.00 99.00 99.00 999 1030.3   0.9   4.1  -2.3 99.0 99.00
2014 01 01 13 00 258  1.0  1.2 99.00 99.00 99.00 999 1030.7   0.7   4.0  -3.2 99.0 99.00
2014 01 01 14 00 161  6.2  6.8 99.00 99.00 99.00 999 1030.7   1.3   4.2  -1.8 99.0 99.00
2014 01 01 15 00 167  5.8  6.4 99.00 99.00 99.00 999 1031.2   1.7   4.2  -2.8 99.0 99.00
2014 01 01 16 00 167  5.9  6.8 99.00 99.00 99.00 999 1030.6   2.1   4.3  -2.9 99.0 99.00
2014 01 01 17 00 168  5.8  6.5 99.00 99.00 99.00 999 1029.2   2.0   4.3  -2.0 99.0 99.00
2014 01 01 18 00 166  6.8  7.9 99.00 99.00 99.00 999 1028.1   2.7   4.3  -1.2 99.0 99.00
2014 01 01 19 00 166  8.8  9.4 99.00 99.00 99.00 999 1027.1   4.0   4.4   0.0 99.0 99.00
2014 01 01 20 00 168  9.1  9.9 99.00 99.00 99.00 999 1026.0   4.8   4.4   2.0 99.0 99.00
2014 01 01 21 00 169  8.8  9.5 99.00 99.00 99.00 999 1025.7   5.4   4.6   4.5 99.0 99.00
2014 01 01 22 00 159  6.4  7.0 99.00 99.00 99.00 999 1025.1   5.4   4.6   4.8 99.0 99.00
2014 01 01 23 00 158  5.6  6.0 99.00 99.00 99.00 999 1024.8   5.5   4.4   5.2 99.0 99.00
2014 01 02 00 00 137  3.6  3.8 99.00 99.00 99.00 999 1024.6   5.2   4.4   5.1 99.0 99.00
2014 01 02 01 00 146  4.4  4.6 99.00 99.00 99.00 999 1024.0   5.5   4.4   5.4 99.0 99.00
2014 01 02 02 00 148  2.8  3.3 99.00 99.00 99.00 999 1023.3   5.1   4.4   5.1 99.0 99.00
2014 01 02 03 00 153  5.1  5.6 99.00 99.00 99.00 999 1022.8   5.1   4.4   5.1 99.0 99.00
2014 01 02 04 00 150  4.1  4.7 99.00 99.00 99.00 999 1022.3   4.7   4.3   4.7 99.0 99.00
2014 01 02 05 00 159  4.1  4.6 99.00 99.00 99.00 999 1021.4   4.6   4.3   4.6 99.0 99.00
2014 01 02 06 00 161  4.0  4.2 99.00 99.00 99.00 999 1020.3   4.5   4.4   4.5 99.0 99.00
2014 01 02 07 00 151  3.6  3.8 99.00 99.00 99.00 999 1019.9   4.1   4.3   4.1 99.0 99.00
2014 01 02 08 00 152  2.1  2.3 99.00 99.00 99.00 999 1019.6   4.1   4.6   4.1 99.0 99.00
2014 01 02 09 00 138  3.0  3.2 99.00 99.00 99.00 999 1017.8   4.1   4.5   4.1 99.0 99.00
2014 01 02 10 00  97  2.0  2.2 99.00 99.00 99.00 999 1017.4   3.5   4.5   3.5 99.0 99.00
2014 01 02 11 00  49  2.2  2.3 99.00 99.00 99.00 999 1016.6   3.1   4.6   3.1 99.0 99.00
2014 01 02 12 00  90  2.8  3.1 99.00 99.00 99.00 999 1016.4   2.4   4.3   2.4 99.0 99.00
2014 01 02 13 00  47  2.6  3.0 99.00 99.00 99.00 999 1015.8   1.8   4.3   1.8 99.0 99.00
2014 01 02 14 00  38  3.4  3.8 99.00 99.00 99.00 999 1015.1   1.4   4.3   1.4 99.0 99.00
2014 01 02 15 00  35  2.5  2.9 99.00 99.00 99.00 999 1015.2   1.4   4.3   1.4 99.0 99.00
2014 01 02 16 00  75  2.7  2.9 99.00 99.00 99.00 999 1013.7   1.6   4.3   1.6 99.0 99.00
2014 01 02 17 00  37  2.7  3.2 99.00 99.00 99.00 999 1011.9   1.6   4.2   1.6 99.0 99.00
2014 01 02 18 00  14  5.4  5.6 99.00 99.00 99.00 999 1009.9   2.2   4.3   2.2 99.0 99.00
2014 01 02 19 00  55  5.0  5.5 99.00 99.00 99.00 999 1008.9   2.8   4.3   2.8 99.0 99.00
2014 01 02 20 00   9  5.1  5.7 99.00 99.00 99.00 999 1009.4   2.8   4.7   2.8 99.0 99.00
2014 01 02 21 00  51  6.2  7.2 99.00 99.00 99.00 999 1007.6   3.0   4.5   3.0 99.0 99.00
2014 01 02 22 00  46  6.1  6.5 99.00 99.00 99.00 999 1006.0   2.4   4.8   2.4 99.0 99.00
2014 01 02 23 00  67  5.1  5.7 99.00 99.00 99.00 999 1005.9   2.1   4.7   2.1 99.0 99.00
2014 01 03 00 00  38  6.2  6.9 99.00 99.00 99.00 999 1005.5   1.2   4.5   1.2 99.0 99.00
2014 01 03 01 00  33  6.4  6.9 99.00 99.00 99.00 999 1005.0   0.1   4.4   0.1 99.0 99.00
2014 01 03 02 00  34  7.1  7.6 99.00 99.00 99.00 999 1003.8  -0.1   4.2  -0.1 99.0 99.00
2014 01 03 03 00  18  8.0  8.4 99.00 99.00 99.00 999 1003.8  -0.9   4.3  -0.9 99.0 99.00
2014 01 03 04 00  22  8.1  9.5 99.00 99.00 99.00 999 1003.5  -1.2   4.2  -1.2 99.0 99.00
2014 01 03 05 00 329 10.2 11.1 99.00 99.00 99.00 999 1003.1  -1.6   4.0  -1.6 99.0 99.00
2014 01 03 06 00 335  8.6  9.2 99.00 99.00 99.00 999 1003.5  -2.4   4.0  -2.4 99.0 99.00
2014 01 03 07 00 329 12.3 13.7 99.00 99.00 99.00 999 1004.4  -3.6   3.9  -3.6 99.0 99.00
2014 01 03 08 00 332 10.7 11.9 99.00 99.00 99.00 999 1006.3  -4.1   3.9  -4.1 99.0 99.00
2014 01 03 09 00 328 12.6 14.9 99.00 99.00 99.00 999 1007.9  -4.8   3.8  -4.8 99.0 99.00
2014 01 03 10 00 331 10.8 12.4 99.00 99.00 99.00 999 1010.6  -5.2   3.7  -5.3 99.0 99.00
